"","time","month_factor","month_and_year_factor","latitude","longitude","county","county_factor","year","count","X2m_temperature","total_precipitation","low_vegetation_cover","high_vegetation_cover","X10m_wind_speed","volumetric_soil_water_layer_1","total_cloud_cover","housingdensity","population","populationdensity","predicted_count"
"4369","7/1/2019",6,78,37.75,-122.25,"Alameda",1,2019,2,0.702657062591485,-0.633621422985837,0.797385994947963,-0.914192282832663,-0.0728314654835813,-0.7155355217292,-0.459738803302424,0.732613158579453,0.670992409771421,0.250998492128881,1.15107420786941
"4370","7/1/2019",6,78,38.5,-120.75,"Amador",2,2019,0,1.23104360873727,-0.633621422985837,-1.30287908826916,1.73269987528057,-0.473942794193977,0.132836918497089,-1.32058670208968,-0.437235163967841,-0.435187954468978,-0.0449704175225675,0.72856983964659
"4371","7/1/2019",6,78,40,-121.75,"Butte",3,2019,1,1.62653293267063,-0.633621422985837,-0.687649922478286,1.15167476740206,-0.430966580403577,-0.175662150676107,-1.37438969576388,-0.306400443572015,-0.313534874364814,-0.035924222178615,4.63749256724405
"4372","7/1/2019",6,78,38.5,-120.75,"Calaveras",4,2019,1,1.07973291597734,-0.597550757330994,-1.03415830321108,1.47446649400123,-0.452454687298777,-0.0985373833828077,-1.32058670208968,-0.418735865493313,-0.431016329236965,-0.0479183875616075,1.50485745102024
"4373","7/1/2019",6,78,39.25,-122.25,"Colusa",5,2019,0,2.01321581416823,-0.633621422985837,0.0760828350552139,0.344695450904119,-0.552732519476376,-0.792660289022499,-1.32058670208968,-0.457561936046383,-0.447530622655031,-0.0514624247357141,0.249293899464145
"4374","7/1/2019",6,78,38,-122.25,"Contra Costa",6,2019,1,0.893997039150337,-0.633621422985837,0.737277398290234,-0.494563038253736,0.421394993106013,-0.484161219849303,-0.782556765347644,0.337276800482366,0.31993112909342,0.163294360615173,1.33191585614877
"4375","7/1/2019",6,78,41.75,-124,"Del Norte",7,2019,0,0.165464074009939,-0.597550757330994,-1.30641488807256,1.73269987528057,-0.101482274677181,-0.7155355217292,-0.72875377167344,-0.451156099017059,-0.443283063402868,-0.0502595019201498,0.191710248950676
"4376","7/1/2019",6,78,39,-121,"El Dorado",8,2019,1,0.847563069943587,-0.597550757330994,-0.906869510288827,1.28079145804173,-0.481105496492377,0.287086453083688,-1.15917772106707,-0.295847945038669,-0.331394962693581,-0.0387602610588077,2.08537145017378
"4377","7/1/2019",6,78,37.25,-120.75,"Fresno",9,2019,0,1.72660614216794,-0.633621422985837,0.245801225618214,0.312416278244202,-0.481105496492377,-0.329911685262705,-1.48199568311229,0.178081393329336,0.215233708899446,-0.0313728045748822,4.22162034620732
"4378","7/1/2019",6,78,39.75,-122.5,"Glenn",10,2019,0,2.08686969635824,-0.633621422985837,0.938817987083797,-0.333167174954148,-0.373664962016378,-0.484161219849303,-1.37438969576388,-0.451806555723573,-0.442889155673338,-0.0510726885320167,0.520460466653952
"4379","7/1/2019",6,78,42,-124,"Humboldt",11,2019,0,1.11655985707235,-0.597550757330994,1.12267957686038,-0.526842210913653,-0.337851450524378,-0.946909823609097,-0.72875377167344,-0.349922966416756,-0.37023318005354,-0.0488637338550051,2.04303405403292
"4380","7/1/2019",6,78,33.5,-116,"Imperial",12,2019,0,2.76176342120809,-0.597550757330994,2.09856032259763,-1.46293821805126,-0.287712534435579,-1.48678319466219,-0.943965746370254,-0.360467721417881,-0.339278541142766,-0.0481355070384078,0.165855581476488
"4381","7/1/2019",6,78,38,-118.75,"Inyo",13,2019,0,1.25906410739652,-0.489338760366463,1.74498034225805,-1.20470483677192,-0.803427099920373,-1.0240345909024,-1.05157173371866,-0.454689085592615,-0.449908984643313,-0.0537482477989222,0.748567926147748
"4382","7/1/2019",6,78,36,-120,"Kern",14,2019,2,1.7017879862126,-0.597550757330994,1.16157337469773,-0.559121383573571,-0.23041091604838,-0.946909823609097,-1.42819268943808,0.11308411975438,0.148181935159677,-0.039058294626341,4.60709018169351
"4383","7/1/2019",6,78,36.25,-120.25,"Kings",15,2019,0,2.11729195204542,-0.633621422985837,1.440901559166,-0.785075592192993,-0.466780091895577,-0.484161219849303,-1.53579867678649,-0.382372238186329,-0.358448491319128,-0.0391432544216106,0.444697293016168
"4384","7/1/2019",6,78,42,-123,"Lake",16,2019,0,1.07973291597734,-0.597550757330994,0.705455200059672,-0.171771311654561,-0.330688748225979,-0.7155355217292,-1.10537472739286,-0.406363636888173,-0.418486537929827,-0.047076881017984,3.19850779185758
"4385","7/1/2019",6,78,40.75,-121,"Lassen",17,2019,2,1.09574462949691,-0.56148009167615,1.36664976329469,-0.81735476485291,-0.359339557419578,-0.638410754435901,-1.05157173371866,-0.448542656892675,-0.441411154209696,-0.0530793579821958,2.30361442933831
"4386","7/1/2019",6,78,34.75,-119.25,"Los Angeles",18,2019,0,0.846762484267608,-0.597550757330994,-0.203245349413057,-1.30154235475167,0.421394993106013,-1.25540889278229,-0.190723834931407,6.45587137385617,6.34419797464687,0.27964612595291,1.60967786326652
"4387","7/1/2019",6,78,37.5,-120.25,"Madera",19,2019,1,1.56008432156442,-0.597550757330994,-0.298711944104744,0.796603868142963,-0.466780091895577,-0.175662150676107,-1.42819268943808,-0.37371303328087,-0.35547418286913,-0.0440587854336421,2.6514554896828
"4388","7/1/2019",6,78,38,-124,"Marin",20,2019,0,-0.0186706314651074,-0.597550757330994,-1.2675210902352,-1.01102980081242,4.08153586758837,-1.40965842736889,0.293503108136423,-0.253870256871898,-0.286659655090155,0.01309757969199,0.556775404847151
