county,Year,Population
Tulare County,2015,"457,161"
Tuolumne County,2015,"53,615"
Ventura County,2015,"845,802"
Yolo County,2015,"212,037"
Yuba County,2015,"74,045"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions All geographic boundaries for the 2019 population estimates are as of January 1, 2019 For population estimates methodology statements, see http://wwwcensusgov/programs-surveys/popest/technical-documentation/methodologyhtml",2015,
Suggested Citation:,2015,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-06)",2015,
"Source: US Census Bureau, Population Division",2015,
Release Date: March 2020,2015,
California,2016,"39,167,117"
Alameda County,2016,"1,650,950"
Alpine County,2016,"1,047"
Amador County,2016,"37,429"
Butte County,2016,"226,231"
Calaveras County,2016,"45,322"
Colusa County,2016,"21,496"
Contra Costa County,2016,"1,137,268"
Del Norte County,2016,"27,382"
El Dorado County,2016,"185,976"
Fresno County,2016,"976,830"
Glenn County,2016,"27,840"
Humboldt County,2016,"136,290"
Imperial County,2016,"180,179"
Inyo County,2016,"17,922"
Kern County,2016,"880,856"
Kings County,2016,"149,382"
Lake County,2016,"63,903"
Lassen County,2016,"30,721"
Los Angeles County,2016,"10,105,708"
Madera County,2016,"153,956"
Marin County,2016,"260,562"
Mariposa County,2016,"17,456"
Mendocino County,2016,"87,285"
Merced County,2016,"267,628"
Modoc County,2016,"8,961"
Mono County,2016,"14,273"
Monterey County,2016,"433,953"
Napa County,2016,"140,840"
Nevada County,2016,"98,913"
Orange County,2016,"3,164,986"
Placer County,2016,"378,943"
Plumas County,2016,"18,665"
Riverside County,2016,"2,380,081"
Sacramento County,2016,"1,510,987"
San Benito County,2016,"59,225"
San Bernardino County,2016,"2,131,960"
San Diego County,2016,"3,306,089"
San Francisco County,2016,"871,512"
San Joaquin County,2016,"732,809"
San Luis Obispo County,2016,"281,803"
San Mateo County,2016,"767,906"
Santa Barbara County,2016,"444,340"
Santa Clara County,2016,"1,928,368"
Santa Cruz County,2016,"274,396"
Shasta County,2016,"178,571"
Sierra County,2016,"2,951"
Siskiyou County,2016,"43,376"
Solano County,2016,"438,858"
Sonoma County,2016,"502,547"
Stanislaus County,2016,"539,255"
Sutter County,2016,"95,742"
Tehama County,2016,"63,453"
Trinity County,2016,"12,828"
Tulare County,2016,"459,235"
Tuolumne County,2016,"53,770"
Ventura County,2016,"847,323"
Yolo County,2016,"215,627"
Yuba County,2016,"74,952"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions All geographic boundaries for the 2019 population estimates are as of January 1, 2019 For population estimates methodology statements, see http://wwwcensusgov/programs-surveys/popest/technical-documentation/methodologyhtml",2016,
Suggested Citation:,2016,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-06)",2016,
"Source: US Census Bureau, Population Division",2016,
Release Date: March 2020,2016,
California,2017,"39,358,497"
Alameda County,2017,"1,660,196"
Alpine County,2017,"1,111"
Amador County,2017,"38,529"
Butte County,2017,"228,696"
Calaveras County,2017,"45,681"
Colusa County,2017,"21,579"
Contra Costa County,2017,"1,145,535"
Del Norte County,2017,"27,351"
El Dorado County,2017,"188,679"
Fresno County,2017,"985,238"
Glenn County,2017,"27,926"
Humboldt County,2017,"136,507"
Imperial County,2017,"181,649"
Inyo County,2017,"17,868"
Kern County,2017,"887,356"
Kings County,2017,"149,665"
Lake County,2017,"64,111"
Lassen County,2017,"30,920"
Los Angeles County,2017,"10,103,711"
Madera County,2017,"155,423"
Marin County,2017,"259,749"
Mariposa County,2017,"17,414"
Mendocino County,2017,"87,576"
Merced County,2017,"271,096"
Modoc County,2017,"8,876"
Mono County,2017,"14,354"
Monterey County,2017,"434,534"
Napa County,2017,"139,878"
Nevada County,2017,"99,367"
Orange County,2017,"3,174,289"
Placer County,2017,"385,115"
Plumas County,2017,"18,660"
Riverside County,2017,"2,414,964"
Sacramento County,2017,"1,527,301"
San Benito County,2017,"60,164"
San Bernardino County,2017,"2,150,945"
San Diego County,2017,"3,321,237"
San Francisco County,2017,"878,040"
San Joaquin County,2017,"743,296"
San Luis Obispo County,2017,"282,481"
San Mateo County,2017,"768,901"
Santa Barbara County,2017,"445,298"
Santa Clara County,2017,"1,932,510"
Santa Cruz County,2017,"274,856"
Shasta County,2017,"179,384"
Sierra County,2017,"3,002"
Siskiyou County,2017,"43,622"
Solano County,2017,"443,511"
Sonoma County,2017,"502,469"
Stanislaus County,2017,"544,717"
Sutter County,2017,"96,204"
Tehama County,2017,"63,847"
Trinity County,2017,"12,726"
Tulare County,2017,"462,308"
Tuolumne County,2017,"53,976"
Ventura County,2017,"849,044"
Yolo County,2017,"218,477"
Yuba County,2017,"76,578"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions All geographic boundaries for the 2019 population estimates are as of January 1, 2019 For population estimates methodology statements, see http://wwwcensusgov/programs-surveys/popest/technical-documentation/methodologyhtml",2017,
Suggested Citation:,2017,
"Annual Estimates of the Resident Population for Counties in California: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-06)",2017,
"Source: US Census Bureau, Population Division",2017,
Release Date: March 2020,2017,
California,2018,"39,461,588"
Alameda County,2018,"1,666,756"
