"","time","month_factor","month_and_year_factor","latitude","longitude","county","county_factor","year","count","X2m_temperature","total_precipitation","low_vegetation_cover","high_vegetation_cover","X10m_wind_speed","volumetric_soil_water_layer_1","total_cloud_cover","housingdensity","population","populationdensity","predicted_count"
"4064","1/1/2019",0,72,34,-117.5,"Riverside",32,2019,0,-0.633520430616565,0.268145218385252,1.58233355130184,-0.914192282832663,-0.746125481533174,0.0557121512037906,0.616321070181643,1.18604730304312,1.21284740782981,-0.00775533005809021,0.335866304027395
"4120","2/1/2019",1,73,34,-117.5,"Riverside",32,2019,0,-1.02580741184601,1.53061851630478,1.58233355130184,-0.914192282832663,-0.531244412581176,0.826959824136781,0.831533044878456,1.18604730304312,1.21284740782981,-0.00775533005809021,0.234937883137608
"4176","3/1/2019",2,74,34,-117.5,"Riverside",32,2019,0,-0.316488502929095,-0.0204201068534967,1.58233355130184,-0.914192282832663,-0.531244412581176,0.132836918497089,0.670124063855846,1.18604730304312,1.21284740782981,-0.00775533005809021,0.604708801517695
"4232","4/1/2019",3,75,34,-117.5,"Riverside",32,2019,0,0.306367152982148,-0.489338760366463,1.58233355130184,-0.914192282832663,-0.380827664314778,-0.792660289022499,0.293503108136423,1.18604730304312,1.21284740782981,-0.00775533005809021,1.5271748672651
"4288","5/1/2019",4,76,34,-117.5,"Riverside",32,2019,4,0.151053531842326,-0.164702769472871,1.58233355130184,-0.914192282832663,-0.345014152822779,-0.484161219849303,0.454912089159032,1.18604730304312,1.21284740782981,-0.00775533005809021,1.30284045955361
"4344","6/1/2019",5,77,34,-117.5,"Riverside",32,2019,3,1.16699675465899,-0.597550757330994,1.58233355130184,-0.914192282832663,-0.531244412581176,-0.869785056315798,-0.674950777999237,1.18604730304312,1.21284740782981,-0.00775533005809021,4.44438711438682
"4400","7/1/2019",6,78,34,-117.5,"Riverside",32,2019,4,1.68257392998912,-0.56148009167615,1.58233355130184,-0.914192282832663,-0.531244412581176,-1.0240345909024,-0.997768740044457,1.18604730304312,1.21284740782981,-0.00775533005809021,8.88037766955285
"4456","8/1/2019",7,79,34,-117.5,"Riverside",32,2019,5,1.7762424540786,-0.633621422985837,1.58233355130184,-0.914192282832663,-0.624359542460375,-1.1011593581957,-1.32058670208968,1.18604730304312,1.21284740782981,-0.00775533005809021,9.6389070257874
"4512","9/1/2019",8,80,34,-117.5,"Riverside",32,2019,8,1.29589104849152,-0.489338760366463,1.58233355130184,-0.914192282832663,-0.617196840161976,-1.1011593581957,-0.943965746370254,1.18604730304312,1.21284740782981,-0.00775533005809021,5.29204939151589
"4568","10/1/2019",9,81,34,-117.5,"Riverside",32,2019,7,0.54414109874775,-0.633621422985837,1.58233355130184,-0.914192282832663,-0.588546030968376,-1.17828412548899,-1.80481364515751,1.18604730304312,1.21284740782981,-0.00775533005809021,2.06476898027543
"4624","11/1/2019",10,82,34,-117.5,"Riverside",32,2019,1,-0.0619022579679442,0.196003887075565,1.58233355130184,-0.914192282832663,-0.760450886129974,-0.7155355217292,-0.459738803302424,1.18604730304312,1.21284740782981,-0.00775533005809021,0.857967142994579
"4680","12/1/2019",11,83,34,-117.5,"Riverside",32,2019,0,-0.72478719767811,0.484569212314313,1.58233355130184,-0.914192282832663,-0.760450886129974,0.518460754963585,1.26195699427208,1.18604730304312,1.21284740782981,-0.00775533005809021,0.369775243046228
