city,2013,2014,2015,2016,2017,2018,2019
Dos Palos city,5026,5046,5084,5217,5407,5502,5527
Downey city,112858,113091,113260,112896,112426,111915,111126
Duarte city,21646,21808,21809,21725,21624,21454,21271
Dublin city,52027,54554,57545,59579,60797,63423,64826
Dunsmuir city,1572,1567,1571,1571,1572,1568,1564
East Palo Alto city,29212,29482,29661,29811,29671,29486,29314
Eastvale city,56247,57386,59231,60670,62309,63815,64157
El Cajon city,102303,102789,103230,103527,103468,103041,102708
El Centro city,43316,43496,43655,44028,44114,44089,44079
El Cerrito city,24323,24551,24902,25458,25468,25607,25508
Elk Grove city,160251,162701,165997,169156,171425,172603,174775
El Monte city,115414,115627,115824,115550,115514,115308,115487
El Paso de Robles (Paso Robles) city,30718,31108,31346,31722,31772,32133,32153
El Segundo city,16855,16900,16891,16835,16752,16663,16610
Emeryville city,10878,11311,11765,11792,11751,12109,12086
Encinitas city,61555,62023,62590,62921,62884,62750,62709
Escalon city,7216,7343,7474,7501,7550,7566,7574
Escondido city,148794,149708,150683,151204,151220,151793,151625
Etna city,714,712,711,713,716,717,718
Eureka city,26895,26874,26902,27153,27126,26968,26710
Exeter city,10458,10490,10486,10477,10502,10508,10485
Fairfax town,7609,7631,7624,7602,7568,7560,7522
Fairfield city,109137,110727,112365,114456,115817,116678,117133
Farmersville city,10680,10711,10710,10702,10726,10729,10703
Ferndale city,1362,1363,1364,1371,1372,1363,1352
Fillmore city,15226,15324,15444,15557,15703,15742,15870
Firebaugh city,8053,8259,8276,8290,8294,8315,8296
Folsom city,72782,74950,75935,76999,77798,78842,81328
Fontana city,202670,203972,206163,208718,211122,213202,214547
Fort Bragg city,7268,7283,7277,7291,7308,7347,7291
Fort Jones city,686,684,683,685,690,689,692
Fortuna city,11891,11973,12057,12199,12277,12322,12259
Foster City city,32416,32698,33470,34279,34292,34109,33901
Fountain Valley city,56601,56671,56643,56423,56051,55663,55357
Fowler city,5938,6028,6242,6353,6487,6750,6790
Fremont city,224796,228274,231687,233478,234544,237811,241110
Fresno city,508880,514100,518203,521426,525373,528814,531576
Fullerton city,138637,138840,139982,140454,139744,139273,138632
Galt city,24433,24760,25226,25619,26167,26378,26536
Gardena city,59788,59843,59946,59873,59871,59540,59329
Garden Grove city,174422,174423,174343,174571,173422,172195,171644
Gilroy city,51893,52538,53259,55369,57549,58588,59032
Glendale city,195318,198232,199197,200118,201804,200688,199303
Glendora city,51120,51065,51769,51882,51997,51846,51544
Goleta city,30639,30880,30963,30921,31098,30954,30911
Gonzales city,8349,8379,8402,8428,8396,8349,8306
Grand Terrace city,12301,12334,12387,12460,12557,12556,12584
Grass Valley city,12784,12840,12929,12927,12932,12881,12817
Greenfield city,16766,16826,17047,17361,17362,17561,17516
Gridley city,6603,6624,6617,6622,6636,6634,7246
Grover Beach city,13403,13464,13526,13586,13585,13501,13459
Guadalupe city,7191,7248,7279,7288,7319,7613,7783
Gustine city,5621,5649,5712,5801,5815,5847,5882
Half Moon Bay city,12054,12355,12657,12761,12840,12974,12932
Hanford city,54741,55086,55608,55663,56383,56971,57703
Hawaiian Gardens city,14419,14430,14461,14423,14356,14262,14159
Hawthorne city,85863,86740,87669,87685,87308,86671,86068
Hayward city,151753,154376,157999,159331,160324,159760,159203
Healdsburg city,11485,11613,11705,11806,11795,12076,11845
Hemet city,81718,82541,83305,84121,84809,85148,85334
Hercules city,24804,25038,25271,25416,25505,25612,26276
Hermosa Beach city,19674,19659,19688,19722,19590,19404,19320
Hesperia city,91777,92071,92653,93251,94473,95013,95750
Hidden Hills city,1891,1895,1908,1916,1910,1891,1890
Highland city,54150,54325,54553,54752,55198,55311,55417
Hillsborough town,11261,11379,11466,11490,11464,11446,11387
Hollister city,36184,36665,36960,37576,38377,39750,40740
Holtville city,6021,6251,6360,6418,6559,6661,6621
Hughson city,6988,7177,7319,7398,7467,7538,7565
Huntington Beach city,197107,199610,200653,200284,200938,200126,199223
Huntington Park city,58739,58908,58933,58701,58476,57998,57509
Huron city,6765,6779,6802,6924,7285,7278,7281
Imperial city,16111,16680,16943,17089,17432,17671,18120
Imperial Beach city,27031,27055,27259,27329,27278,27362,27440
Indian Wells city,5139,5193,5255,5324,5392,5435,5470
Indio city,83358,85127,86917,88196,89438,90970,91765
Industry city,207,207,207,207,206,204,202
Inglewood city,110954,110840,110693,110271,109907,109038,108151
Ione city,6963,6972,6997,7031,7818,8381,8568
Irvine city,236057,247136,255382,265345,276000,281732,287401
Irwindale city,1413,1417,1421,1427,1452,1458,1446
Isleton city,819,824,830,835,844,843,844
Jackson city,4596,4611,4660,4695,4734,4793,4840
Jurupa Valley city,99469,100080,101460,103240,105760,108314,109527
Kerman city,14299,14329,14412,14534,14860,14987,15282
King City city,13189,13482,13789,13830,13941,13970,14077
Kingsburg city,11698,11727,11800,11831,12013,12071,12108
La Cañada Flintridge city,20470,20451,20428,20397,20297,20161,20009
Lafayette city,25024,25423,25790,26153,26388,26524,26638
Laguna Beach city,23213,23214,23232,23165,23045,22931,22827
Laguna Hills city,31260,31215,31973,31849,31631,31395,31207
Laguna Niguel city,64381,65079,65396,65145,66011,66079,66385
Laguna Woods city,16290,16264,16251,16184,16068,15949,15850
La Habra city,60224,60421,60473,60292,60898,60778,60513
La Habra Heights city,6622,6628,6639,6616,6590,6545,6492
