time,latitude,longitude,county,year,count,2m_temperature,total_precipitation,low_vegetation_cover,high_vegetation_cover,10m_wind_speed,volumetric_soil_water_layer_1,total_cloud_cover,housingdensity,population,populationdensity
2013-03-01,37.791666666666664,-119.75,Mariposa,2013,0,40.63,0.0018,0.371,0.61,1.85,0.38,0.51,10315,17809,12.29207217
2013-03-01,39.48809523809524,-123.51190476190476,Mendocino,2013,0,48.92,0.0026,0.005,0.72,3.09,0.25,0.62,40614,87054,24.82759801
2013-03-01,37.13636363636363,-120.6590909090909,Merced,2013,0,60.19,0.0005,0.676,0.31,2.16,0.15,0.48,84060,262026,135.416053
2013-03-01,41.31730769230769,-120.20192307692308,Modoc,2013,0,39.67,0.0007,0.879,0.11,2.48,0.27,0.60,5225,9145,2.334236058
2013-03-01,37.9375,-119.109375,Mono,2013,0,33.69,0.0010,0.669,0.28,1.94,0.35,0.51,13980,14067,4.613674081
2013-03-01,35.667808219178085,-122.76369863013699,Monterey,2013,0,52.78,0.0008,0.059,0.09,6.42,0.04,0.63,139733,426712,130.0717249
2013-03-01,38.416666666666664,-122.33333333333333,Napa,2013,0,55.49,0.0013,0.033,0.97,1.86,0.22,0.61,55110,139580,186.5145117
2013-03-01,39.3,-120.65,Nevada,2013,0,43.90,0.0024,0.081,0.89,2.28,0.42,0.59,52940,97938,102.2562828
2013-03-01,33.541666666666664,-117.79166666666667,Orange,2013,0,58.36,0.0006,0.528,0.09,2.27,0.08,0.50,1061560,3104950,3927.482702
2013-03-01,39,-120.875,Placer,2013,0,50.04,0.0023,0.205,0.78,2.23,0.33,0.57,156172,365398,259.6982253
2013-03-01,40.01923076923077,-120.88461538461539,Plumas,2013,0,39.45,0.0026,0.156,0.82,2.10,0.46,0.61,15666,18895,7.459416353
2013-03-01,33.705882352941174,-116.79411764705883,Riverside,2013,0,59.22,0.0005,0.818,0.18,1.95,0.11,0.41,813435,2286755,317.3197141
2013-03-01,38.5,-121.35,Sacramento,2013,0,58.69,0.0011,0.489,0.50,2.20,0.19,0.56,559945,1457341,1510.761528
2013-03-01,36.833333333333336,-121.33333333333333,San Benito,2013,0,54.67,0.0006,0.411,0.57,1.75,0.21,0.55,17979,57239,41.2173888
2013-03-01,34.99090909090909,-116.85454545454546,San Bernardino,2013,0,61.40,0.0002,0.914,0.06,2.50,0.03,0.36,704913,2082738,103.8413675
2013-03-01,33.104166666666664,-116.95833333333333,San Diego,2013,0,59.03,0.0007,0.631,0.16,2.19,0.10,0.47,1179403,3209768,763.0259852
2013-03-01,37.92857142857143,-121.25,San Joaquin,2013,0,58.15,0.0008,0.508,0.47,2.15,0.17,0.55,236448,702046,504.5898859
2013-03-01,34.70890410958904,-122.13356164383562,San Luis Obispo,2013,0,54.17,0.0006,0.073,0.10,6.39,0.04,0.57,118512,275696,83.58071401
2013-03-01,37.00961538461539,-123.23076923076923,San Mateo,2013,0,51.62,0.0011,0.013,0.04,6.59,0.04,0.67,272698,748661,1669.59033
2013-03-01,33.765957446808514,-121.26063829787235,Santa Barbara,2013,0,54.81,0.0005,0.013,0.06,6.78,0.02,0.54,153977,434601,158.8988256
2013-03-01,37.25,-121.7,Santa Clara,2013,0,54.52,0.0010,0.335,0.64,1.83,0.23,0.56,643833,1866425,1446.728936
2013-03-01,36.6875,-122.72916666666667,Santa Cruz,2013,0,51.95,0.0010,0.018,0.06,5.89,0.03,0.63,104975,268816,603.8502145
2013-03-01,40.794117647058826,-121.79411764705883,Shasta,2013,0,47.69,0.0023,0.222,0.77,2.33,0.35,0.60,77761,178397,47.25247656
2013-03-01,39.583333333333336,-120.83333333333333,Sierra,2013,0,42.19,0.0034,0.033,0.97,2.28,0.45,0.60,2342,3028,3.176634739
2013-03-01,41.58571428571429,-122.30714285714286,Siskiyou,2013,0,42.83,0.0022,0.306,0.68,2.04,0.31,0.66,24080,43532,6.934187974
2013-03-01,38.25,-121.875,Solano,2013,0,57.53,0.0010,0.417,0.56,2.33,0.17,0.60,154210,423659,515.5507691
2013-03-01,38.3,-123.47,Sonoma,2013,0,50.92,0.0018,0.024,0.19,6.25,0.07,0.65,206148,494073,313.5279373
2013-03-01,37.541666666666664,-121,Stanislaus,2013,0,59.71,0.0005,0.545,0.44,2.26,0.16,0.51,180054,523451,350.1742673
2013-03-01,39.125,-121.75,Sutter,2013,0,60.84,0.0012,0.540,0.46,2.43,0.18,0.55,34044,94507,156.8815259
2013-03-01,40.05,-122.425,Tehama,2013,0,54.66,0.0016,0.297,0.67,2.33,0.25,0.57,27180,62875,21.31565476
2013-03-01,40.666666666666664,-123.04166666666667,Trinity,2013,0,45.44,0.0027,0.020,0.98,1.75,0.40,0.64,8764,13427,4.223323111
2013-03-01,36.21875,-119.015625,Tulare,2013,0,51.97,0.0009,0.378,0.61,1.51,0.29,0.42,144606,452460,93.78944946
2013-03-01,37.95,-120.2,Tuolumne,2013,0,48.79,0.0017,0.233,0.74,2.14,0.33,0.51,31332,53997,24.31333525
2013-03-01,33.76315789473684,-119.38157894736842,Ventura,2013,0,56.23,0.0005,0.161,0.08,4.06,0.05,0.48,283532,838136,454.7351516
2013-03-01,38.65,-121.95,Yolo,2013,0,58.81,0.0012,0.379,0.61,2.17,0.18,0.57,75904,206292,203.305443
2013-03-01,39.25,-121.41666666666667,Yuba,2013,0,57.09,0.0020,0.362,0.64,2.34,0.27,0.56,27856,73090,115.6780198
2013-04-01,37.666666666666664,-122,Alameda,2013,0,59.57,0.0004,0.596,0.18,2.69,0.15,0.33,589352,1579593,2137.415767
2013-04-01,38.5,-120.625,Amador,2013,0,56.75,0.0015,0.002,1.00,2.60,0.34,0.32,18241,36620,61.58969357
2013-04-01,39.75,-121.57142857142857,Butte,2013,0,60.03,0.0012,0.176,0.82,2.98,0.27,0.36,96989,221641,135.4393019
2013-04-01,38.25,-120.42857142857143,Calaveras,2013,0,53.94,0.0013,0.078,0.92,2.59,0.32,0.31,28024,44655,43.77898256
2013-04-01,39.125,-122.125,Colusa,2013,0,67.89,0.0006,0.392,0.57,3.36,0.17,0.32,7892,21250,18.46653863
2013-04-01,37.95,-121.9,Contra Costa,2013,0,62.25,0.0005,0.579,0.31,3.09,0.16,0.31,404915,1093401,1527.224348
2013-04-01,41.625,-124,Del Norte,2013,0,49.70,0.0030,0.001,1.00,3.91,0.20,0.50,11323,27816,27.63993362
2013-04-01,38.82142857142857,-120.42857142857143,El Dorado,2013,0,48.66,0.0015,0.114,0.86,2.50,0.40,0.35,88683,181481,106.2609785
2013-04-01,36.65,-119.8625,Fresno,2013,0,62.35,0.0005,0.440,0.56,2.44,0.23,0.23,321458,951514,159.7038599
2013-04-01,39.6,-122.2,Glenn,2013,0,67.47,0.0006,0.636,0.36,3.48,0.17,0.33,10893,27809,21.16442787
2013-04-01,41.185483870967744,-119.62096774193549,Humboldt,2013,0,49.14,0.0011,0.688,0.30,2.98,0.14,0.45,62181,134403,37.66921339
2013-04-01,33.25,-116,Imperial,2013,0,73.89,0.0000,0.964,0.01,2.72,0.00,0.13,56665,176438,42.24440933
2013-04-01,37.04838709677419,-118.10483870967742,Inyo,2013,0,51.88,0.0003,0.864,0.09,1.88,0.10,0.23,9497,18357,1.803087555
2013-04-01,35.351063829787236,-118.68085106382979,Kern,2013,0,61.08,0.0002,0.699,0.29,2.62,0.09,0.21,289153,862000,106.0021569
2013-04-01,36.041666666666664,-119.95833333333333,Kings,2013,0,68.54,0.0001,0.778,0.22,2.47,0.17,0.20,44600,150337,108.2012638
2013-04-01,40.75,-120.95454545454545,Lake,2013,0,49.40,0.0009,0.570,0.41,2.95,0.23,0.43,35612,63796,50.77439791
2013-04-01,40.52777777777778,-120.36111111111111,Lassen,2013,0,47.90,0.0008,0.757,0.21,2.89,0.20,0.43,12730,32129,7.075033361
2013-04-01,33.76428571428571,-118.48571428571428,Los Angeles,2013,0,59.63,0.0001,0.313,0.06,3.91,0.03,0.34,3473910,9992484,2462.488787
2013-04-01,37.21875,-119.8125,Madera,2013,1,59.37,0.0006,0.286,0.71,2.39,0.25,0.24,49669,151370,70.83062324
2013-04-01,37.666666666666664,-123.25,Marin,2013,0,52.60,0.0005,0.012,0.15,7.77,0.02,0.38,111823,258409,496.6443082
2013-04-01,37.791666666666664,-119.75,Mariposa,2013,0,44.57,0.0010,0.371,0.61,2.10,0.40,0.29,10315,17809,12.29207217
2013-04-01,39.48809523809524,-123.51190476190476,Mendocino,2013,0,53.41,0.0011,0.005,0.72,3.83,0.24,0.40,40614,87054,24.82759801
