city,Year,Population
Lakewood city,2013,80883.0
La Mesa city,2013,58556.0
La Mirada city,2013,48961.0
Lancaster city,2013,159055.0
La Palma city,2013,15846.0
La Puente city,2013,40305.0
La Quinta city,2013,39119.0
Larkspur city,2013,12185.0
Lathrop city,2013,19120.0
La Verne city,2013,31659.0
Lawndale city,2013,33108.0
Lemon Grove city,2013,26116.0
Lemoore city,2013,24826.0
Lincoln city,2013,45018.0
Lindsay city,2013,12938.0
Live Oak city,2013,8373.0
Livermore city,2013,85448.0
Livingston city,2013,13460.0
Lodi city,2013,63128.0
Loma Linda city,2013,23691.0
Lomita city,2013,20597.0
Lompoc city,2013,43384.0
Long Beach city,2013,468000.0
Loomis town,2013,6640.0
Los Alamitos city,2013,11597.0
Los Altos city,2013,30014.0
Los Altos Hills town,2013,8345.0
Los Angeles city,2013,3881622.0
Los Banos city,2013,36608.0
Los Gatos town,2013,30722.0
Loyalton city,2013,714.0
Lynwood city,2013,71146.0
McFarland city,2013,12430.0
Madera city,2013,62749.0
Malibu city,2013,12807.0
Mammoth Lakes town,2013,8058.0
Manhattan Beach city,2013,35426.0
Manteca city,2013,71761.0
Maricopa city,2013,1178.0
Marina city,2013,20269.0
Martinez city,2013,37119.0
Marysville city,2013,12154.0
Maywood city,2013,27614.0
Mendota city,2013,11512.0
Menifee city,2013,83045.0
Menlo Park city,2013,33013.0
Merced city,2013,80703.0
Millbrae city,2013,22480.0
Mill Valley city,2013,14307.0
Milpitas city,2013,69944.0
Mission Viejo city,2013,96003.0
Modesto city,2013,206075.0
Monrovia city,2013,36992.0
Montague city,2013,1395.0
Montclair city,2013,37923.0
Montebello city,2013,63279.0
Monterey city,2013,28600.0
Monterey Park city,2013,60796.0
Monte Sereno city,2013,3442.0
Moorpark city,2013,35136.0
Moraga town,2013,16753.0
Moreno Valley city,2013,200195.0
Morgan Hill city,2013,41028.0
Morro Bay city,2013,10447.0
Mountain View city,2013,77955.0
Mount Shasta city,2013,3263.0
Murrieta city,2013,107361.0
Napa city,2013,78728.0
National City city,2013,59776.0
Needles city,2013,4908.0
Nevada City city,2013,3095.0
Newark city,2013,44078.0
Newman city,2013,10629.0
Newport Beach city,2013,86877.0
Norco city,2013,27033.0
Norwalk city,2013,106122.0
Novato city,2013,54142.0
Oakdale city,2013,21457.0
Oakland city,2013,406648.0
Oakley city,2013,38142.0
Oceanside city,2013,173175.0
Ojai city,2013,7573.0
Ontario city,2013,167096.0
Orange city,2013,139972.0
Orange Cove city,2013,10215.0
Orinda city,2013,18674.0
Orland city,2013,7442.0
Oroville city,2013,18750.0
Oxnard city,2013,202835.0
Pacifica city,2013,38722.0
Pacific Grove city,2013,15435.0
Palmdale city,2013,156495.0
Palm Desert city,2013,50357.0
