,incident_name,incident_dateonly_extinguished,incident_dateonly_created,incident_acres_burned,incident_longitude,incident_latitude,city,incident_county,incident_id,incident_url
0,Bridge Fire,2018-01-09,2017-10-31,37,-122.309,40.774,Shasta Lake,Shasta,2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/
1,Pala Fire,2009-05-25,2009-05-24,122,1,1,Mumford,San Diego,8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/
2,River Fire,2013-02-28,2013-02-24,406,-118.01651,36.602575,Lone Pine,Inyo,094719ba-a47b-4abb-9ec5-a506b2b9fd23,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/
3,Fawnskin Fire,2013-04-22,2013-04-20,30,-116.941311,34.288877,Big Bear Lake,San Bernardino,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,https://www.fire.ca.gov/incidents/2013/4/20/fawnskin-fire/
4,Gold Fire,2013-05-01,2013-04-30,274,-119.635004,37.116295,Auberry,Madera,357ffc13-bef9-48eb-810f-c5de851972eb,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/
5,Panther Fire,2013-05-09,2013-05-01,6965,-121.595555,40.190062,Forest Ranch,Tehama,53122f0f-fefc-4dbf-b2d8-566b42ced66d,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/
6,Silverado Fire,2013-05-01,2013-04-30,75,-122.350844,38.441792,Yountville,Napa,d8d1c943-7b5d-4885-9043-f41075d6eded,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/
7,Yellow Fire,2013-05-03,2013-05-01,125,-122.655616,38.638828,Calistoga,Sonoma,64e4f81e-d872-44c4-ba8d-111fa77124ba,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/
8,Summit Fire,2013-05-04,2013-05-01,3166,-116.941311,34.288877,Big Bear Lake,Riverside,a1b14be5-a8cf-4e40-8588-96becf4c5879,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/
9,Tres Pinos Fire,2013-05-03,2013-05-03,354,-120.937494,37.160346,Gustine,San Benito,ca68f3c4-4906-4952-b794-4531d7da8369,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/
10,306 Fire,2013-05-05,2013-05-01,217,-122.560862,39.514139,Willows,Glenn,5649e78d-7c26-4698-89a0-b0fa9a35cf78,https://www.fire.ca.gov/incidents/2013/5/1/306-fire/
11,Lytle Fire,2013-05-15,2013-05-13,75,-117.4408,34.1834,Fontana,San Bernardino,e2c4b308-9a2d-483b-8434-999bef9adc7c,https://www.fire.ca.gov/incidents/2013/5/13/lytle-fire/
12,Gorgonio Fire,2013-05-05,2013-05-04,510,-116.855019,33.894055,Banning,Riverside,958ce6d2-97f9-4848-8620-d14ab87f329d,https://www.fire.ca.gov/incidents/2013/5/4/gorgonio-fire/
13,Grand Fire,2013-05-21,2013-05-15,4346,-118.9411,34.7861,Frazier Park,"Kern, Ventura",e0d038e9-0926-4c05-8317-ec7075a04b12,https://www.fire.ca.gov/incidents/2013/5/15/grand-fire/
14,54 Fire,2013-05-17,2013-05-16,40,-116.161201,33.655638,Thermal,Riverside,e215290f-d0b4-48fd-be32-f599959347b1,https://www.fire.ca.gov/incidents/2013/5/16/54-fire/
15,Lake Fire,2013-05-18,2013-05-17,712,-118.610044,34.49149,Castaic,Los Angeles,39af7eac-c188-411f-8c8a-d165c5fca4a9,https://www.fire.ca.gov/incidents/2013/5/17/lake-fire/
16,Lilly 2 Fire,2013-05-20,2013-05-19,91,-119.7917,37.1927,Yosemite Lakes,Madera,2b765a08-c770-4b19-baa8-00dffe3fa838,https://www.fire.ca.gov/incidents/2013/5/19/lilly-2-fire/
17,Cottontail Fire,2013-05-20,2013-05-20,35,-120.91375,35.49864,Cayucos,San Luis Obispo,f17c523c-bf01-4245-899b-7c2331096dae,https://www.fire.ca.gov/incidents/2013/5/20/cottontail-fire/
18,Cherry Fire,2013-05-20,2013-05-20,25,-116.907213,33.96201,Banning,Riverside,a60e315c-23d5-4ba4-869c-5c1e22a25e7a,https://www.fire.ca.gov/incidents/2013/5/20/cherry-fire/
19,Water Fire,2013-05-21,2013-05-21,90,-116.6534,33.9582,Morongo Valley,Riverside,13850faa-5bab-4fd7-bac3-433ce9250c4d,https://www.fire.ca.gov/incidents/2013/5/21/water-fire/
20,Shelton Fire,2013-05-30,2013-05-30,303,-120.90325,38.04993,Rancho Calaveras,San Joaquin,0b51d59b-457d-4a62-b066-55c2b8d400e2,https://www.fire.ca.gov/incidents/2013/5/30/shelton-fire/
21,Border Fire,2013-05-23,2013-05-22,100,-116.900368,32.564465,Ejido Javier Rojo Gomez,San Diego,e077e091-f890-477c-b948-eb23774b432e,https://www.fire.ca.gov/incidents/2013/5/22/border-fire/
22,San Felipe Fire,2013-05-26,2013-05-23,2781,-116.52579,33.12111,Julian,San Diego,859479e3-918c-42c6-bb74-5fdc17930a16,https://www.fire.ca.gov/incidents/2013/5/23/san-felipe-fire/
23,Homestead Fire,2013-05-25,2013-05-25,50,-120.6368,35.5123,Atascadero,San Luis Obispo,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,https://www.fire.ca.gov/incidents/2013/5/25/homestead-fire/
24,Smiley Fire,2013-05-25,2013-05-25,124,-117.187934,33.963591,Moreno Valley,Riverside,9795afee-7e60-4ab3-b5c3-7df67f91c5f9,https://www.fire.ca.gov/incidents/2013/5/25/smiley-fire/
25,General Fire,2013-05-31,2013-05-26,1271,-116.5209,33.04458,Julian,San Diego,07a5397c-a665-4f84-9a82-5f689cb2c8f3,https://www.fire.ca.gov/incidents/2013/5/26/general-fire/
26,White Fire,2013-05-30,2013-05-27,1984,-119.82429,34.55048,Goleta,Santa Barbara,abc61995-8bea-4be1-aa49-ee378ab3baaa,https://www.fire.ca.gov/incidents/2013/5/27/white-fire/
27,Magic Fire,2013-05-29,2013-05-28,149,-118.58688,34.419284,Valencia,Los Angeles,794412f2-1ba2-4217-ac38-49272a96fb6f,https://www.fire.ca.gov/incidents/2013/5/28/magic-fire/
28,Olive Fire,2013-05-29,2013-05-28,170,-120.074655,34.611824,Santa Ynez,Santa Barbara,cb5f34a0-177e-445d-9349-dd94063a01d0,https://www.fire.ca.gov/incidents/2013/5/28/olive-fire/
29,Branch Fire,2013-06-03,2013-06-01,500,-120.05131,35.15832,Santa Maria,San Luis Obispo,213dc89e-9f29-4480-91a6-aec5fb694999,https://www.fire.ca.gov/incidents/2013/6/1/branch-fire/
30,Murphy Fire,2013-06-02,2013-06-02,100,-120.33313,37.91529,East Sonora,Tuolumne,98bfbb7c-8446-4e2e-a268-7e961353723c,https://www.fire.ca.gov/incidents/2013/6/2/murphy-fire/
31,Lone Fire,2013-06-03,2013-06-03,298,-121.576804,39.434183,Palermo,Butte,1a5192f1-bc99-4130-8683-381e0534b76a,https://www.fire.ca.gov/incidents/2013/6/3/lone-fire/
32,Hathaway Fire,2013-06-09,2013-06-09,0,-116.84137,33.99647,Banning,Riverside,befb9d5c-c0ea-48b8-8589-2586be0275af,https://www.fire.ca.gov/incidents/2013/6/9/hathaway-fire/
33,Sonoma-Lake-Napa Unit Lightning Fires,2013-06-14,2013-06-10,28,-122.0437,38.4229,Vacaville,"Sonoma, Solano, Lake, Colusa",5ce45b6c-81b5-422c-9078-8c68dd872c8a,https://www.fire.ca.gov/incidents/2013/6/10/sonoma-lake-napa-unit-lightning-fires/
34,152 Fire,2013-06-05,2013-06-04,124,-121.006939,37.03776,Los Banos,Merced,f9e85371-fc46-4f54-822c-7dcdaadde551,https://www.fire.ca.gov/incidents/2013/6/4/152-fire/
35,Lake Fire,2013-06-06,2013-06-05,30,-122.703193,38.99233,Clearlake Oaks,Lake,dcb21e64-9d38-47c2-848b-e8e0dea5c2de,https://www.fire.ca.gov/incidents/2013/6/5/lake-fire/
36,Powerhouse Fire,2013-06-08,2013-05-30,30274,-118.423176,34.585595,Green Valley,Los Angeles,bf37805e-1cc2-4208-9972-753e47874c87,https://www.fire.ca.gov/incidents/2013/5/30/powerhouse-fire/
37,Vasco Fire,2013-06-08,2013-06-08,240,-121.737213,37.775057,Livermore,Alameda,2ad509e4-99f1-4e1a-81eb-839f772f9c45,https://www.fire.ca.gov/incidents/2013/6/8/vasco-fire/
38,Viper Fire,2013-06-08,2013-06-08,42,-117.1265,33.96936,Calimesa,Riverside,e9505435-e861-4f33-9069-b0040fb2a135,https://www.fire.ca.gov/incidents/2013/6/8/viper-fire/
39,Northern California Lightning Activity,2013-06-14,2013-06-10,60,-121.5747,39.9845,Forest Ranch,,369e41d4-75a6-4be0-a38a-5f7450553631,https://www.fire.ca.gov/incidents/2013/6/10/northern-california-lightning-activity/
40,Roadrunner Fire,2013-06-13,2013-06-12,96,-120.966016,38.27783,Ione,Amador,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,https://www.fire.ca.gov/incidents/2013/6/12/roadrunner-fire/
41,Revis Fire,2013-06-14,2013-06-12,75,-119.75636,37.169379,Yosemite Lakes,Madera,7055a440-5d4c-4f58-bac9-2954ff6698a5,https://www.fire.ca.gov/incidents/2013/6/12/revis-fire/
42,Clinton Fire,2013-06-13,2013-06-13,108,-119.628389,36.772425,Sunnyside,Fresno,a2cfda2a-21c1-4e45-90b5-37d931b4a926,https://www.fire.ca.gov/incidents/2013/6/13/clinton-fire/
43,Carstens Fire,2013-06-26,2013-06-16,1708,-119.91071,37.58202,Midpines,Mariposa,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1,https://www.fire.ca.gov/incidents/2013/6/16/carstens-fire/
44,PFE Fire,2013-06-13,2013-06-13,237,-121.380862,38.729297,North Highlands,Placer,fe47b1c2-b9c0-44be-8d10-f270056db35c,https://www.fire.ca.gov/incidents/2013/6/13/pfe-fire/
45,Michelle Fire,2013-06-13,2013-06-13,35,-119.558244,36.763367,Sanger,Fresno,953f17a1-2034-467b-b48c-28da1a9af60e,https://www.fire.ca.gov/incidents/2013/6/13/michelle-fire/
46,Palmyrita Fire,2013-06-15,2013-06-14,40,-117.302057,34.001745,Grand Terrace,Riverside,2d1f0c40-92e7-4540-991b-d353ed68ec6c,https://www.fire.ca.gov/incidents/2013/6/14/palmyrita-fire/
47,Rolling Fire,2013-06-18,2013-06-16,482,-119.78106,37.015575,Bonadelle Ranchos-Madera Ranchos,Madera,05d0fed7-8502-4a6f-9c5c-b9cee0e75408,https://www.fire.ca.gov/incidents/2013/6/16/rolling-fire/
48,California Fire,2013-06-18,2013-06-18,124,-122.13802,38.08744,Benicia,Solano,2b403f03-fe84-450a-90b7-befb8acc7e70,https://www.fire.ca.gov/incidents/2013/6/18/california-fire/
49,Sierra Fire,2013-06-19,2013-06-17,46,-119.463757,37.03087,Auberry,Fresno,15e7e15d-f707-473e-b0f3-6534cfd845b7,https://www.fire.ca.gov/incidents/2013/6/17/sierra-fire/
50,George Fire,2013-06-25,2013-06-25,150,-119.2248,36.7218,Squaw Valley,Fresno,23ec2f69-da30-4983-80c2-1f04bfea6f9a,https://www.fire.ca.gov/incidents/2013/6/25/george-fire/
51,Mount Fire,2013-06-20,2013-06-20,25,-122.81796,38.98058,Kelseyville,Lake,d489b45e-dcba-4eaa-8bb5-6a23255562da,https://www.fire.ca.gov/incidents/2013/6/20/mount-fire/
52,Mills Fire,2013-07-01,2013-06-28,534,-117.048397,34.071556,Yucaipa,San Bernardino,6011819c-19ac-46c2-aa48-0ee8be0e48c0,https://www.fire.ca.gov/incidents/2013/6/28/mills-fire/
53,Concord Fire,2013-07-01,2013-07-01,274,-121.74367,39.90465,Forest Ranch,Contra Costa,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,https://www.fire.ca.gov/incidents/2013/7/1/concord-fire/
54,Freeman Fire,2013-06-29,2013-06-29,105,-120.8973,36.1531,King City,Monterey,58317b8d-7f4d-466f-b2c7-035c25fb00f0,https://www.fire.ca.gov/incidents/2013/6/29/freeman-fire/
55,Kirker Fire,2013-07-01,2013-07-01,492,-121.91453,37.96866,Clayton,Contra Costa,522114fe-ada8-49a9-9bb2-5891103ff0ca,https://www.fire.ca.gov/incidents/2013/7/1/kirker-fire/
56,Northern Region July Lightning,2013-07-04,2013-07-02,754,-121.5747,39.9845,Forest Ranch,,42690ee2-a5ed-4320-9a55-d5ff3d1a80f5,https://www.fire.ca.gov/incidents/2013/7/2/northern-region-july-lightning/
57,Fox Fire (formally 3-7 Fire),2013-07-05,2013-07-03,502,-121.035,41.2415,Alturas,Modoc,8b51033d-abc6-4ea4-8983-990ad4e1c45e,https://www.fire.ca.gov/incidents/2013/7/3/fox-fire-formally-3-7-fire/
58,Vina Fire,2013-07-04,2013-07-04,200,-122.079871,40.012398,Los Molinos,Tehama,c94959d7-eb88-4724-8feb-ba0662afca10,https://www.fire.ca.gov/incidents/2013/7/4/vina-fire/
59,Grant Fire,2013-07-04,2013-07-04,50,-121.5869,37.7393,Mountain House,Alameda,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,https://www.fire.ca.gov/incidents/2013/7/4/grant-fire/
60,Fallon Fire,2013-07-06,2013-07-06,38,-121.86216,37.74241,Pleasanton,Alameda,4c04a4e5-f580-4e62-bb53-2575c72d29dc,https://www.fire.ca.gov/incidents/2013/7/6/fallon-fire/
61,Chariot Fire,2013-07-15,2013-07-06,7055,-116.47381,32.95435,Pine Valley,San Diego,ee19b2ec-a96a-4738-994e-fb3ea016e053,https://www.fire.ca.gov/incidents/2013/7/6/chariot-fire/
62,Adelaida Fire,2013-07-07,2013-07-07,85,-120.83417,35.62743,Lake Nacimiento,San Luis Obispo,a97d2b3a-3a53-424f-852c-5f1b8d199cc3,https://www.fire.ca.gov/incidents/2013/7/7/adelaida-fire/
63,McGanney Fire,2013-07-08,2013-07-08,73,-121.31634,39.206,Beale Air Force Base,Yuba,397ed8e6-6088-4e03-9316-8f50c65a83be,https://www.fire.ca.gov/incidents/2013/7/8/mcganney-fire/
64,Fiddler Fire,2013-07-09,2013-07-09,43,-122.7338,40.373,Shasta,Shasta,3f64fc8a-8870-4e64-b60a-3e13c8532acd,https://www.fire.ca.gov/incidents/2013/7/9/fiddler-fire/
65,Kyburz Fire,2013-07-11,2013-07-08,572,-120.298,38.774,Pollock Pines,El Dorado,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,https://www.fire.ca.gov/incidents/2013/7/8/kyburz-fire/
66,Uvas Fire,2013-07-12,2013-07-12,50,-121.7804,37.1438,Morgan Hill,Santa Clara,e779a754-29fd-472f-8d29-46cfee32d3c2,https://www.fire.ca.gov/incidents/2013/7/12/uvas-fire/
67,Diablo Fire,2013-07-13,2013-07-12,150,-121.1955,37.436,Patterson,Stanislaus,873074c8-4b6d-417b-a78c-1d1430027805,https://www.fire.ca.gov/incidents/2013/7/12/diablo-fire/
68,Mountain Fire,2013-07-30,2013-07-15,27531,-116.72885,33.7095,Idyllwild,Riverside,a3149fec-4d48-427c-8b2c-59e8b79d59db,https://www.fire.ca.gov/incidents/2013/7/15/mountain-fire/
69,Orleans Complex,2013-08-03,2013-08-03,0,-123.376,41.333,Happy Camp,Humboldt,7d4f107b-66a9-43d2-819d-ec855c2947bf,https://www.fire.ca.gov/incidents/2013/8/3/orleans-complex/
70,Silverwood Fire,2013-07-26,2013-07-25,75,-117.352,34.316,Oak Hills,San Bernardino,ed51bbd2-6f8e-4f46-9073-3673a583fada,https://www.fire.ca.gov/incidents/2013/7/25/silverwood-fire/
71,Flume Fire,2013-07-28,2013-07-28,25,-116.707335,32.612773,Lomas de Santa Anita,San Diego,c6cfeed9-55bb-4fdb-8a52-e4d947dba721,https://www.fire.ca.gov/incidents/2013/7/28/flume-fire/
72,Aspen Fire,2013-09-24,2013-07-22,22992,-119.318,37.279,Auberry,Fresno,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,https://www.fire.ca.gov/incidents/2013/7/22/aspen-fire/
73,Salmon River Complex,2013-08-31,2013-07-31,14754,-123.176,41.32,Happy Camp,Siskiyou,ba76c009-09c9-497c-b923-1ac8cf05c20d,https://www.fire.ca.gov/incidents/2013/7/31/salmon-river-complex/
74,Branch Fire,2013-08-04,2013-08-01,92,-121.50354,39.6612,Berry Creek,Butte,0b51d3d5-bb3a-426d-9c12-c1878a01d7cf,https://www.fire.ca.gov/incidents/2013/8/1/branch-fire/
75,Redlands Fire,2013-07-17,2013-07-16,150,-117.164997,33.990128,Redlands,Riverside,d48a839f-d8da-44d7-9b35-b9f61aa28c61,https://www.fire.ca.gov/incidents/2013/7/16/redlands-fire/
76,Relay Fire,2013-08-04,2013-08-04,60,-116.99895,33.91027,Beaumont,Riverside,0658b1f8-5323-4152-b6d1-b208736587db,https://www.fire.ca.gov/incidents/2013/8/4/relay-fire/
77,Water Fire,2013-07-25,2013-07-23,612,-118.93388,34.90327,Frazier Park,Kern,86faecab-ed3a-4fce-95cf-89433a825c72,https://www.fire.ca.gov/incidents/2013/7/23/water-fire/
78,Pratt Fire,2013-07-23,2013-07-23,45,-123.067671,38.980846,Lakeport,Mendocino,f1d7f375-8aa3-4cb5-a864-bae9bb90cbd1,https://www.fire.ca.gov/incidents/2013/7/23/pratt-fire/
79,Rancho Fire,2013-07-22,2013-07-19,712,-118.9194,34.882,Frazier Park,Kern,591a56a5-e9c0-45a0-96bd-34098588c39b,https://www.fire.ca.gov/incidents/2013/7/19/rancho-fire/
80,Paskenta Fire,2013-07-19,2013-07-19,195,-122.330879,39.961309,Rancho Tehama Reserve,Tehama,4423899b-6197-4ef5-9f73-bca1763f17e6,https://www.fire.ca.gov/incidents/2013/7/19/paskenta-fire/
81,Lakeville Fire,2013-07-26,2013-07-26,158,-122.51253,38.17693,Black Point-Green Point,Sonoma,c9b5d1ff-c042-4b39-8bac-b10fb6fc6c13,https://www.fire.ca.gov/incidents/2013/7/26/lakeville-fire/
82,50 Fire,2013-07-19,2013-07-19,163,-121.08438,38.63987,El Dorado Hills,"El Dorado, Sacramento",4630e9ce-88ec-4159-9bc9-25ff5f8216cc,https://www.fire.ca.gov/incidents/2013/7/19/50-fire/
83,Heacock Fire,2013-07-20,2013-07-19,40,-117.2508,33.9634,Moreno Valley,Riverside,8fb3a438-3146-4b8d-8f20-bfa8d6610f84,https://www.fire.ca.gov/incidents/2013/7/19/heacock-fire/
84,Gilman Fire,2013-07-19,2013-07-19,15,-117.09306,33.94528,Calimesa,Riverside,2b300dd5-4474-4b8a-9b4c-3a3014afe27d,https://www.fire.ca.gov/incidents/2013/7/19/gilman-fire/
85,Chuckwagon Fire,2013-07-23,2013-07-22,31,-120.696362,37.965364,Copperopolis,Calaveras,68dadbb3-6a63-483a-add9-491a69d9e0ad,https://www.fire.ca.gov/incidents/2013/7/22/chuckwagon-fire/
86,Power Fire,2013-08-14,2013-08-05,1070,-120.02778,38.25108,Twain Harte,Tuolumne,1e8441c2-f426-40b4-9f4f-3de9f7e232b9,https://www.fire.ca.gov/incidents/2013/8/5/power-fire/
87,Falls Fire,2013-08-09,2013-08-05,1383,-117.40288,33.62236,Lakeland Village,Riverside,4867ac70-663e-48f4-b9ae-ca0a486234ca,https://www.fire.ca.gov/incidents/2013/8/5/falls-fire/
88,Tram Fire,2013-08-08,2013-08-06,60,-116.61,38.838,Eureka,Riverside,ac568737-dae6-4050-b1f4-62ab1f9ec930,https://www.fire.ca.gov/incidents/2013/8/6/tram-fire/
89,Indian Fire,2013-08-07,2013-08-07,38,-122.5906,39.1591,Clearlake Oaks,Lake,b5b63934-923d-4504-a9b1-75c885477a8d,https://www.fire.ca.gov/incidents/2013/8/7/indian-fire/
90,Silver Fire,2013-08-12,2013-08-07,20292,-116.90427,33.86157,Banning,Riverside,c400203b-a7fd-4bd8-803a-f3c74bc32a2b,https://www.fire.ca.gov/incidents/2013/8/7/silver-fire/
91,Corral Complex,2013-08-12,2013-08-10,12503,-123.488,41.035,Willow Creek,Humboldt,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,https://www.fire.ca.gov/incidents/2013/8/10/corral-complex/
92,Cottonwood Fire,2013-08-15,2013-08-15,50,-122.578393,41.923323,Yreka,Siskiyou,e16c204e-58d6-4f78-bc97-729b16ef9f83,https://www.fire.ca.gov/incidents/2013/8/15/cottonwood-fire/
93,Union Fire,2013-08-16,2013-08-16,116,-120.839075,38.682378,Deer Park,El Dorado,db009f8f-8b9d-44bb-a3f6-83f319c84d72,https://www.fire.ca.gov/incidents/2013/8/16/union-fire/
94,Sharp Fire,2013-08-13,2013-08-08,243,-117.62,34.35,Wrightwood,San Bernardino,62eabea3-40be-497d-94e4-150f011b925f,https://www.fire.ca.gov/incidents/2013/8/8/sharp-fire/
95,Cloverdale Fire,2013-08-14,2013-08-14,27,-122.48259,40.473356,Shasta,Shasta,0537a175-8fe9-4f5f-b56f-77848fa195f4,https://www.fire.ca.gov/incidents/2013/8/14/cloverdale-fire/
96,Swedes Fire,2013-08-22,2013-08-16,2462,-121.38236,39.446268,Oroville East,Butte,0758e1c0-95ea-47e7-b5c1-5f3ea96bc664,https://www.fire.ca.gov/incidents/2013/8/16/swedes-fire/
97,American Fire,2013-08-30,2013-08-10,27440,-120.65,39.12,Foresthill,Placer,8213f5c7-34fa-403b-a4bc-da2ace6e6625,https://www.fire.ca.gov/incidents/2013/8/10/american-fire/
98,Coyote Fire,2013-08-12,2013-08-09,97,-120.958126,40.88886,Susanville,Lassen,2b84c8a2-e2e8-45a2-9221-e8075608c218,https://www.fire.ca.gov/incidents/2013/8/9/coyote-fire/
99,Pierce Fire,2013-08-16,2013-08-16,40,-116.10815,33.570291,Mecca,Riverside,f23f8148-6ec4-4885-9729-0dad7c744485,https://www.fire.ca.gov/incidents/2013/8/16/pierce-fire/
100,Double Fire,2013-08-18,2013-08-16,70,-122.491894,39.013682,Clearlake,Lake,ae025ba5-8b5d-48de-ad5e-3037de3d18e9,https://www.fire.ca.gov/incidents/2013/8/16/double-fire/
101,Bridges Fire,2013-08-19,2013-08-17,46,-120.45233,38.06231,Columbia,Calaveras,10445e2c-979d-49a2-82c2-c3789bd2449a,https://www.fire.ca.gov/incidents/2013/8/17/bridges-fire/
102,Cleghorn Fire,2013-08-18,2013-08-17,110,-117.451,34.287,Oak Hills,San Bernardino,c7f05927-66a4-403c-9048-aeb42eca0211,https://www.fire.ca.gov/incidents/2013/8/17/cleghorn-fire/
103,Clover Fire,2013-09-15,2013-09-09,8073,-122.535496,40.498332,Shasta,Shasta,92af9783-eda9-4186-afe9-447f61a92636,https://www.fire.ca.gov/incidents/2013/9/9/clover-fire/
104,Plumas Lightning Complex (Hough),2013-08-25,2013-08-18,513,-120.764666,40.00842,East Quincy,Plumas,5015b3c2-2bae-4cce-9bf8-f1b25b0ce1e6,https://www.fire.ca.gov/incidents/2013/8/18/plumas-lightning-complex-hough/
105,Shirley Fire,2013-08-24,2013-08-18,794,-118.588,35.707,Alta Sierra,Kern,5421868e-52ba-4737-8169-325e0aa040e4,https://www.fire.ca.gov/incidents/2013/8/18/shirley-fire/
106,Burney Lightning Series (Warner Fire),2013-08-23,2013-08-19,196,-121.3754,40.5445,Chester,Shasta,f21a41c6-0905-4531-9bdf-2456d0051eed,https://www.fire.ca.gov/incidents/2013/8/19/burney-lightning-series-warner-fire/
107,Sierra Fire,2013-09-30,2013-09-24,200,-117.417,34.2,Muscoy,San Bernardino,f7358513-329f-4dba-8980-4cd3a19b469a,https://www.fire.ca.gov/incidents/2013/9/24/sierra-fire/
108,Deer Fire,2013-08-29,2013-08-23,11429,-121.85397,40.04263,Forest Ranch,Tehama,956dbcf6-db40-4b61-b235-4ede14738f1e,https://www.fire.ca.gov/incidents/2013/8/23/deer-fire/
109,Gobblers Fire,2013-08-20,2013-08-20,413,-117.598,34.302,Wrightwood,San Bernardino,b202bd85-c5ef-4bdf-8270-d556f95c3742,https://www.fire.ca.gov/incidents/2013/8/20/gobblers-fire/
110,Fish Fire,2013-09-24,2013-08-24,2060,-118.444,36.208,Kernville,Tulare,a4de6058-c68c-4924-bfb5-dc8ecc3b54c0,https://www.fire.ca.gov/incidents/2013/8/24/fish-fire/
111,Empire Fire,2013-08-24,2013-08-24,38,-120.84716,38.89555,Georgetown,El Dorado,fea7802f-ba70-450a-9ad1-96e2751293a9,https://www.fire.ca.gov/incidents/2013/8/24/empire-fire/
112,Little Fire,2013-08-30,2013-08-24,97,-116.706,33.642,Anza,San Bernardino,b5109726-5e91-4c10-96f8-2a5bb72e5a59,https://www.fire.ca.gov/incidents/2013/8/24/little-fire/
113,Chestnut Fire,2013-09-07,2013-09-07,41,-122.427285,37.667295,South San Francisco,San Mateo,b30ee931-f349-4d21-a38a-d346c516b104,https://www.fire.ca.gov/incidents/2013/9/7/chestnut-fire/
114,Morgan Fire,2013-09-14,2013-09-08,3111,-121.882582,37.90757,Clayton,Contra Costa,e33b2d80-7fec-4470-9e79-440d349b0d95,https://www.fire.ca.gov/incidents/2013/9/8/morgan-fire/
115,Angora Fire,2013-09-24,2013-09-08,134,-118.459,36.258,Three Rivers,Tulare,d332a628-6290-4e91-b8d0-4dc663b80c38,https://www.fire.ca.gov/incidents/2013/9/8/angora-fire/
116,Liveoak Fire,2013-09-12,2013-09-11,73,-117.106075,34.003151,Calimesa,San Bernardino,31f21c59-8a94-4b17-91aa-88ca14817162,https://www.fire.ca.gov/incidents/2013/9/11/liveoak-fire/
117,Madre Fire,2013-09-28,2013-09-23,268,-117.908,34.149,Azusa,Los Angeles,eb5a3f2a-0c25-417a-af78-bb0d643247c7,https://www.fire.ca.gov/incidents/2013/9/23/madre-fire/
118,Davis Creek Complex,2013-09-24,2013-09-05,97,-120.375,41.73325,Alturas,Modoc,308ce8d5-67c8-4edb-9e2f-bf6295f98d7e,https://www.fire.ca.gov/incidents/2013/9/5/davis-creek-complex/
119,Tyler Fire,2013-08-31,2013-08-31,52,-121.107022,39.333401,Nevada City,Nevada,1476673c-df55-4c39-b117-d9d067f8a020,https://www.fire.ca.gov/incidents/2013/8/31/tyler-fire/
120,Centerville Fire,2013-09-01,2013-08-31,80,-121.713938,39.731878,Paradise,Butte,dd374f36-e7cb-4a48-91ee-e8be101e0f88,https://www.fire.ca.gov/incidents/2013/8/31/centerville-fire/
121,Rail Fire,2013-09-05,2013-09-07,68,-120.959,41.569,Alturas,Modoc,0875cf4e-9948-45ed-a76d-d74564319b49,https://www.fire.ca.gov/incidents/2013/9/7/rail-fire/
122,Rim Fire,2013-09-06,2013-08-17,257314,-120.086,37.857,Tuolumne City,Tuolumne,5fb18d4d-213f-4d83-a179-daaf11939e78,https://www.fire.ca.gov/incidents/2013/8/17/rim-fire/
123,Lyon Fire,2013-09-12,2013-09-09,263,-116.746023,32.710918,Alpine,San Diego,f6f6fefa-ac4e-466f-815e-492416e37b98,https://www.fire.ca.gov/incidents/2013/9/9/lyon-fire/
124,Lakeshore Fire,2013-09-15,2013-09-15,30,-122.683,38.9777,Clearlake Oaks,Lake,51e00abb-53d0-4014-9224-2a853b1d6bcf,https://www.fire.ca.gov/incidents/2013/9/15/lakeshore-fire/
125,Creek Fire,2013-09-24,2013-09-24,94,-120.8358,35.4393,Cayucos,San Luis Obispo,ac469123-da14-4821-b824-c6cf66138514,https://www.fire.ca.gov/incidents/2013/9/24/creek-fire/
126,Highland Fire,2013-09-29,2013-09-28,98,-122.966,38.9252,Lakeport,Mendocino,b20a2031-12c9-4e9c-9f44-ac82c26e6c66,https://www.fire.ca.gov/incidents/2013/9/28/highland-fire/
127,Putah Fire,2013-10-04,2013-10-03,376,-122.289,38.628,Angwin,Napa,1f94fce5-49a5-4220-bc99-f003ab4d3e60,https://www.fire.ca.gov/incidents/2013/10/3/putah-fire/
