,incident_name,incident_dateonly_extinguished,incident_dateonly_created,incident_acres_burned,incident_longitude,incident_latitude,city,incident_county,incident_id,incident_url
955,Meamber Fire,2019-01-04,2018-06-04,12,-122.98442,41.64805,Yreka,Siskiyou,c48eaae5-afb4-472c-be65-7dfbb3c82f4d,https://www.fire.ca.gov/incidents/2018/6/4/meamber-fire/
956,Airline Fire,2019-01-04,2018-06-04,1314,-120.99322,36.40755,King City,San Benito,df2538f9-20c9-4d40-9a64-9d6334b6f7d6,https://www.fire.ca.gov/incidents/2018/6/4/airline-fire/
957,Eastern Fire,2019-01-04,2018-06-04,513,-120.901167,36.378333,King City,San Benito,5228fabc-64f6-4ccf-aedc-dc1e781277a6,https://www.fire.ca.gov/incidents/2018/6/4/eastern-fire/
958,ONeals Fire,2019-01-04,2018-06-04,300,-119.623981,37.10181,Auberry,Madera,9662b158-b17f-4386-867a-3afa5ea28929,https://www.fire.ca.gov/incidents/2018/6/4/oneals-fire/
959,Panoche Fire,2019-01-04,2018-06-04,64,-121.03253,36.64832,Soledad,San Benito,9f926d66-2cfa-4e3d-b4a3-4ea3b4b23698,https://www.fire.ca.gov/incidents/2018/6/4/panoche-fire/
960,Pallet Fire,2019-01-04,2018-06-05,10,-122.44408,38.245151,Sonoma,Sonoma,6eed6c93-14f3-450a-80c8-65c5450a8cbd,https://www.fire.ca.gov/incidents/2018/6/5/pallet-fire/
961,Vista Fire,2019-01-04,2018-06-05,12,-117.22974,33.40769,Fallbrook,San Diego,a43a2839-d85f-4152-ac07-4a29c31723cf,https://www.fire.ca.gov/incidents/2018/6/5/vista-fire/
962,Recycle Fire,2019-01-04,2018-06-06,265,-116.46674,32.63046,Campo,San Diego,9ededdf0-b250-49ec-999d-eb988dab08a9,https://www.fire.ca.gov/incidents/2018/6/6/recycle-fire/
963,Liberty Fire,2019-01-04,2018-06-11,62,-121.09199,38.24033,Dogtown,San Joaquin,7278467f-ca4a-47f1-b876-a6722b546f30,https://www.fire.ca.gov/incidents/2018/6/11/liberty-fire/
964,Bear Fire,2019-01-04,2018-06-07,200,-120.24315,37.33924,Planada,Merced,cdd46073-0336-4003-8a06-161947985987,https://www.fire.ca.gov/incidents/2018/6/7/bear-fire/
965,Apple Fire,2019-01-04,2018-06-09,2956,-122.3571,39.94355,Rancho Tehama Reserve,Tehama,22fc8e84-ae8e-4a10-a9f3-828464616253,https://www.fire.ca.gov/incidents/2018/6/9/apple-fire/
966,Chrome Fire,2019-01-04,2018-06-09,2290,-122.58218,39.64978,Orland,Glenn,1d926fc4-0f23-47dd-a750-5e7fac4ad416,https://www.fire.ca.gov/incidents/2018/6/9/chrome-fire/
967,Mission Fire,2019-01-04,2018-06-09,12,-122.5275,37.97638,San Rafael,Marin,5adaf6fa-0c4a-43e4-bd32-baa089a7f0b2,https://www.fire.ca.gov/incidents/2018/6/9/mission-fire/
968,South Fire,2019-01-04,2018-06-09,175,-122.5275,37.97638,San Rafael,Los Angeles,d6d4d085-1c3b-4ee5-bd2a-dd3779797e97,https://www.fire.ca.gov/incidents/2018/6/9/south-fire/
969,Sam Fire,2019-01-04,2018-06-09,96,-121.11936,35.9352,King City,Monterey,63e41793-2c9c-4dda-98e0-62b5069514a7,https://www.fire.ca.gov/incidents/2018/6/9/sam-fire/
970,Beaver Fire,2019-01-04,2018-06-12,215,-120.862579,36.37532,King City,San Benito,b3ab43c4-6f73-4ccc-a3ca-f2c54959f8b1,https://www.fire.ca.gov/incidents/2018/6/12/beaver-fire/
971,Vista Fire,2019-01-04,2018-06-13,60,-120.670311,35.663607,Paso Robles,San Luis Obispo,d886d8aa-00b7-41d7-b48f-665f5c6cf01e,https://www.fire.ca.gov/incidents/2018/6/13/vista-fire/
972,Santiago Fire,2019-01-04,2018-06-11,155,-117.746625,33.787838,North Tustin,Orange,96781eb8-6146-4b96-a5cb-7457defea461,https://www.fire.ca.gov/incidents/2018/6/11/santiago-fire/
973,Euclid Fire,2019-01-04,2018-06-12,154,-117.654299,33.925862,Los Serranos,Riverside,e1c9dae5-a2d8-4c97-8e6d-65937ade5e79,https://www.fire.ca.gov/incidents/2018/6/12/euclid-fire/
974,Portola Fire,2019-01-04,2018-06-12,20,-118.427886,34.110516,Sherman Oaks,Los Angeles,7307857b-b127-4b3a-bf11-ee19d07e0736,https://www.fire.ca.gov/incidents/2018/6/12/portola-fire/
975,Spring Fire,2019-01-04,2018-06-13,70,-122.135924,40.394073,Cottonwood,Tehama,994876ff-2369-4a13-9642-d2dfbd372ac9,https://www.fire.ca.gov/incidents/2018/6/13/spring-fire/
976,Bridle Fire,2019-01-04,2018-06-14,20,-116.821724,33.524412,Aguanga,Riverside,764b9aac-411e-442d-a045-1bd02ec773c2,https://www.fire.ca.gov/incidents/2018/6/14/bridle-fire/
977,70 Fire,2019-01-04,2018-06-14,20,-121.617698,39.602703,Thermalito,Butte,59b452f4-04fe-4251-8cf9-70dfc53ada0c,https://www.fire.ca.gov/incidents/2018/6/14/70-fire/
978,Creston FIre,2019-01-04,2018-06-14,60,-120.624135,35.58354,Paso Robles,San Luis Obispo,f3d3e61e-4ab4-4155-a882-4e27de976659,https://www.fire.ca.gov/incidents/2018/6/14/creston-fire/
979,Tumbleweed Fire,2019-01-04,2018-06-14,646,-120.36403,40.3768,Janesville,Lassen,b307b3b5-529a-4dd0-ad30-e678180a6174,https://www.fire.ca.gov/incidents/2018/6/14/tumbleweed-fire/
980,Planada Fire,2019-01-04,2018-06-15,4564,-120.34207,37.39339,Planada,Merced,3de50f18-061e-40f4-8ee4-8a3d3ef25fb1,https://www.fire.ca.gov/incidents/2018/6/15/planada-fire/
981,Raymond Fire,2019-01-04,2018-06-15,60,-119.91223,37.14663,Yosemite Lakes,Madera,06ccdd6b-fd15-4cba-a9ed-6cb7c70327d9,https://www.fire.ca.gov/incidents/2018/6/15/raymond-fire/
982,Boyer Fire,2019-01-04,2018-06-15,53,-119.84299,37.47677,Midpines,Mariposa,42bd7e44-5bfa-4e25-961d-941a18bc00d0,https://www.fire.ca.gov/incidents/2018/6/15/boyer-fire/
983,Oregon Fire,2019-01-04,2018-06-16,40,-121.521111,39.549167,Oroville,Butte,9b6b1707-4342-4b38-b4a2-1056c202a32a,https://www.fire.ca.gov/incidents/2018/6/16/oregon-fire/
984,Creek Fire,2019-01-04,2018-06-16,32,-122.476381,38.886518,Hidden Valley Lake,Lake,af251be5-4fa6-4ced-954c-a0e0aa34a517,https://www.fire.ca.gov/incidents/2018/6/16/creek-fire/
985,Willow Fire,2019-01-04,2018-06-16,25,-121.998967,38.015323,Bay Point,Contra Costa,0ffbb118-8070-4220-95a7-cdef27b0a7ae,https://www.fire.ca.gov/incidents/2018/6/16/willow-fire/
986,China Fire,2019-01-04,2018-06-17,17,-120.892404,38.265645,Ione,Amador,43d24c96-7841-423f-9e14-bc9a7ff49416,https://www.fire.ca.gov/incidents/2018/6/17/china-fire/
987,Upper Colony Fire,2019-01-04,2018-06-17,1202,-119.416746,38.834395,Smith Valley,,bd149eaf-5a3e-4eac-9973-243e78862b35,https://www.fire.ca.gov/incidents/2018/6/17/upper-colony-fire/
988,Vallecitos Fire,2019-01-04,2018-06-17,20,-121.806775,37.627119,Livermore,Alameda,1f49d4b1-f08f-4fce-8b55-48ff0e521a2f,https://www.fire.ca.gov/incidents/2018/6/17/vallecitos-fire/
989,Dinosaur Fire,2019-01-04,2018-06-17,185,-121.176354,37.05876,Gustine,Merced,fc911680-49a8-454b-be0f-d78cd957bd29,https://www.fire.ca.gov/incidents/2018/6/17/dinosaur-fire/
990,Wheeler Fire,2019-01-04,2018-06-18,115,-120.199162,37.707234,Tuolumne City,Mariposa,8f98a50c-fac6-4dcd-844f-76c49891f0f6,https://www.fire.ca.gov/incidents/2018/6/18/wheeler-fire/
