time,city,county,year,frequency,2m_temperature,total_precipitation,low_vegetation_cover,high_vegetation_cover,10m_wind_speed,volumetric_soil_water_layer_1,total_cloud_cover,density
2013-01-01,Bonny Doon,Santa Cruz County,2013,0,284.317443,0.001036263339,0,0,5.785877210000001,0.0069045146,0.47182214600000005,104975
2013-01-01,Bonsall,San Diego County,2013,0,284.49146,0.0009155972,0.61395025,0.38604978,2.032589,0.2018812,0.32145232,1179403
2013-01-01,Boonville,Mendocino County,2013,0,280.40781999999996,0.0006943056333333332,0,0.6666666666666666,3.0743210333333337,0.22649371333333332,0.44870393,40614
2013-01-01,Boron,Kern County,2013,0,279.740705,0.000267956415,0.9975890000000001,0.0019684732,2.76218175,0.0210354475,0.269656985,289153
2013-01-01,Borrego Springs,San Diego County,2013,0,282.67795333333333,0.0009416987666666666,0.8751010933333333,0.1120911,1.7900905666666667,0.08218357066666666,0.2974096333333333,1179403
2013-01-01,Bridgeport,Mono County,2013,0,266.3378625,0.00078386300625,0.6809164775,0.24958227,1.9837971749999999,0.3526161175,0.37844252875,13980
2013-01-01,Brooktrails,Mendocino County,2013,0,279.50314,0.0007914547,0.0010223985,0.99786365,1.8682022,0.3477418,0.49032825,40614
2013-01-01,Buellton,Santa Barbara County,2013,0,284.6385,0.0010508168,0,0,4.251309,0.08290626,0.29329932,153977
2013-01-01,Burney,Shasta County,2013,0,271.0246477777778,0.0010568433111111113,0.3942729662222222,0.6057270577777777,2.3250933444444444,0.4571551822222222,0.42128333444444444,77761
2013-01-01,Buttonwillow,Kern County,2013,0,282.4292,0.0005511921,0.64384353,0.35522562,1.5313768,0.15486784,0.34647718,289153
2013-01-01,Cabazon,Riverside County,2013,0,278.1266,0.0010034516,0.5721392,0.42786077,2.1050534,0.20194271,0.3232398,813435
2013-01-01,California City,Kern County,2013,0,279.9295,0.00034339726,0.9988403,0,2.6196852,0.024329841,0.2915677,289153
2013-01-01,Callender,San Luis Obispo County,2013,0,284.43085,0.001253264,0,0,4.5513988,4.35e-06,0.30794838,118512
2013-01-01,Camarillo,Ventura County,2013,0,284.50696,0.0010431772,0.5028001,0.21273252,2.124176,0.18474421,0.32410562,283532
2013-01-01,Cambria,San Luis Obispo County,2013,0,285.4380262962963,0.000979422421111111,0.0019763862592592596,0.03751121037037037,6.5009862,0.011509747629629629,0.49999807833333326,118512
2013-01-01,Cameron Park,El Dorado County,2013,0,279.71225,0.0006428659,0.19352081,0.7913265,1.7794671,0.34438205,0.352496,88683
2013-01-01,Camp Pendleton South,San Diego County,2013,0,285.8451,0.000736068,0.59405184,0.032716334,2.5252466,0.15565974,0.32356098,1179403
2013-01-01,Carmel Valley Village,Monterey County,2013,0,283.770576,0.00142629912,0.032356220000000005,0.16764378,4.42096294,0.087811326,0.40518505200000005,139733
2013-01-01,Carmel-by-the-Sea,Monterey County,2013,0,285.05452969696967,0.0009929530196969697,0,0,6.625184542424241,4.349999999999999e-06,0.5419069139393939,139733
2013-01-01,Carpinteria,Santa Barbara County,2013,0,283.768065,0.0009096763250000001,0.205591085,0.25188835,2.420995,0.127459402,0.31435123,153977
2013-01-01,Castroville,Monterey County,2013,0,282.35678,0.0011768686,0.33840966,0.64895546,2.24646,0.26520893,0.36281595,139733
2013-01-01,Cathedral City,Riverside County,2013,0,281.43686,0.00086402986,0.9653915,0.03012222,1.7915444,0.1030186,0.3030607,813435
2013-01-01,Central Valley (historical),Shasta County,2013,0,277.98178,0.0008468414,0.036439657,0.94607294,2.0713377,0.45635307,0.41173452,77761
2013-01-01,Challenge-Brownsville,Yuba County,2013,0,278.4665,0.001123392,0.0059969723,0.99400306,2.85553,0.4491492,0.39186266,27856
2013-01-01,Channel Islands Beach,Ventura County,2013,0,285.95354125,0.00104647164625,0,0,5.5319750375,4.35e-06,0.30012286874999994,283532
2013-01-01,Cherry Valley,Riverside County,2013,0,280.17926,0.0008869488,0.97744644,0.022553533,2.2132468,0.17090544,0.30959624,813435
2013-01-01,Chester,Plumas County,2013,0,270.271234,0.0011714447399999999,0.0404101788,0.931173584,2.45546592,0.442597326,0.43096681,15666
2013-01-01,Chico,Butte County,2013,0,279.49133,0.00058557,0.093708515,0.9062915,2.657427,0.3339799,0.37918267,96989
