time,latitude,longitude,county,year,count,2m_temperature,total_precipitation,low_vegetation_cover,high_vegetation_cover,10m_wind_speed,volumetric_soil_water_layer_1,total_cloud_cover,housingdensity,population
2013-01-01,37.5,-122,Santa Clara,2013,0,280.496376,0.0009147567700000001,0.33466804000000006,0.63801138,1.69744132,0.354018442,0.361623356,643833,1866425
2013-01-01,39.75,-121,Sierra,2013,0,272.06049,0.0015132626,0.03328603413333333,0.9652287166666667,2.7360978666666664,0.46195005333333333,0.42625789333333336,2342,3028
2013-01-01,42,-124,Humboldt,2013,0,267.4864333870968,0.0011548374653225805,0.6882774616451613,0.29620954685935486,1.7844450272580643,0.2468947716129032,0.5714263887096774,62181,134403
2013-01-01,38,-120,Mariposa,2013,0,272.28142333333335,0.0014486448166666666,0.3706554913333333,0.609710635,1.9149463166666667,0.41161027,0.32998477833333334,10315,17809
2013-01-01,38.5,-122.5,Napa,2013,0,280.28909333333337,0.0006244036666666667,0.03325042,0.96674955,1.6836304666666668,0.34148361,0.3907408366666667,55110,139580
2013-01-01,42,-123.75,Siskiyou,2013,0,272.05805114285715,0.001383747084,0.30635340353714297,0.6840492547428572,1.937666465714286,0.3882441388571429,0.4653428857142857,24080,43532
2013-01-01,38.5,-120.75,Calaveras,2013,0,276.25233,0.0011229010857142856,0.07805663833714285,0.9219433657142856,2.1659438,0.39565577571428573,0.35206707142857147,28024,44655
2013-01-01,38,-122.25,Contra Costa,2013,0,280.44331999999997,0.0007274355679999999,0.579381384,0.31304229259999994,1.79694556,0.330086612,0.41338238,404915,1093401
2013-01-01,40.25,-122.75,Tehama,2013,0,279.01563100000004,0.000687977576,0.2971525848,0.671602081,1.9993761900000002,0.384013975,0.401350329,27180,62875
2013-01-01,38,-124,Marin,2013,0,283.39812750000004,0.0008071157258333334,0.011859163333333334,0.15451502833333333,5.80589715,0.032928441666666655,0.4537021525,111823,258409
2013-01-01,38.25,-121.5,San Joaquin,2013,0,280.0392814285714,0.0008730340357142857,0.5080602771428572,0.47434988571428566,1.612803442857143,0.33490908428571425,0.34635349285714284,236448,702046
2013-01-01,34,-117.5,Riverside,2013,0,281.6390023529412,0.0009024302100000001,0.8178860764705883,0.17671743747058824,1.9450477058823528,0.1516035222352941,0.3075195776470588,813435,2286755
2013-01-01,39.75,-122.5,Glenn,2013,0,279.80773,0.00059045888,0.63645187,0.357789212,1.8377738999999997,0.342040232,0.393032916,10893,27809
2013-01-01,36.75,-124,Monterey,2013,0,284.25896698630135,0.0010044980979452057,0.05920534917808219,0.08966015054794521,5.697129869863014,0.051551439589041105,0.5061688883561644,139733,426712
2013-01-01,34.5,-120,Ventura,2013,0,285.02520631578943,0.0010133226384210527,0.16096590526315788,0.0782129047368421,4.330915557894738,0.05553584368421052,0.3066496521052631,283532,838136
2013-01-01,39.25,-121.75,Sutter,2013,0,279.75624,0.0006209025,0.5399646,0.4600354,1.7459185000000002,0.33229235,0.39265169,34044,94507
2013-01-01,38,-118.75,Inyo,2013,0,270.13546806451615,0.000566507900967742,0.8636126770967743,0.09296424510838709,1.556218912903226,0.17087493293548386,0.2861286490322581,9497,18357
2013-01-01,38.25,-122,Solano,2013,0,280.44784500000003,0.0006648302149999999,0.417079955,0.55913815,1.75875065,0.335951935,0.41594492,154210,423659
2013-01-01,38.25,-120.5,Tuolumne,2013,0,276.52378,0.00122950524,0.2327651806,0.742233674,2.0123594999999996,0.409038316,0.329574212,31332,53997
2013-01-01,41.75,-124,Del Norte,2013,0,278.25995,0.0032263622,0.0012665391000000002,0.998542725,2.6341947,0.22258939,0.49717099,11323,27816
2013-01-01,40.75,-121,Lassen,2013,0,268.04697055555556,0.0007007143788888889,0.757208835,0.20969333388333333,1.819296211111111,0.32612513555555556,0.5057251822222222,12730,32129
2013-01-01,37.25,-120.75,Fresno,2013,0,279.41205449999995,0.0010110530024999998,0.44033769629999997,0.555497229,1.549794915,0.340693256,0.34449487700000003,321458,951514
2013-01-01,39.5,-121.25,Nevada,2013,0,273.44494599999996,0.001090694968,0.08081730081,0.8930431740000001,2.24729852,0.427848264,0.420839568,52940,97938
2013-01-01,40,-124,Mendocino,2013,0,279.53570190476194,0.0009386066342857143,0.004757327722380953,0.7166720090476191,2.600826176190476,0.28997703371428574,0.48725068238095237,40614,87054
2013-01-01,38.75,-124,Sonoma,2013,0,282.5785916,0.0009242451199999998,0.023713244024,0.1857464128,5.1621128160000005,0.093328074,0.4557760652,206148,494073
2013-01-01,36,-120,Kern,2013,0,279.14974765957453,0.0006982120014893616,0.6994199110638298,0.2872864767957447,1.9749288212765959,0.16885415836170212,0.32577782276595746,289153,862000
2013-01-01,37.75,-121.25,Stanislaus,2013,0,280.5913033333333,0.000840474855,0.5446212816666667,0.4403913516666667,1.6095166333333335,0.320963795,0.33560094999999995,180054,523451
2013-01-01,33.75,-118,Orange,2013,0,285.4917883333333,0.0006001483066666667,0.52823004,0.085089441,2.4362316500000003,0.09227946093333332,0.3027674516666667,1061560,3104950
2013-01-01,38.75,-122.25,Yolo,2013,0,280.31949199999997,0.000682209612,0.37895412159999997,0.60676912,1.7236424399999997,0.32275052400000004,0.380104332,75904,206292
2013-01-01,40.5,-121.5,Plumas,2013,0,268.9107276923077,0.0011177213538461539,0.15614212133846153,0.8225708807692308,2.195453376923077,0.446086936923077,0.4558685738461538,15666,18895
2013-01-01,37,-124,Santa Cruz,2013,0,284.0066125,0.0010302854491666665,0.018207113333333334,0.0644281,5.231633391666667,0.03897329383333333,0.4537812941666666,104975,268816
