county,Year,Population
Madera County,2017,155423
Marin County,2017,259749
Mariposa County,2017,17414
Mendocino County,2017,87576
Merced County,2017,271096
Modoc County,2017,8876
Mono County,2017,14354
Monterey County,2017,434534
Napa County,2017,139878
Nevada County,2017,99367
Orange County,2017,3174289
Placer County,2017,385115
Plumas County,2017,18660
Riverside County,2017,2414964
Sacramento County,2017,1527301
San Benito County,2017,60164
San Bernardino County,2017,2150945
San Diego County,2017,3321237
San Francisco County,2017,878040
San Joaquin County,2017,743296
San Luis Obispo County,2017,282481
San Mateo County,2017,768901
Santa Barbara County,2017,445298
Santa Clara County,2017,1932510
Santa Cruz County,2017,274856
Shasta County,2017,179384
Sierra County,2017,3002
Siskiyou County,2017,43622
Solano County,2017,443511
Sonoma County,2017,502469
Stanislaus County,2017,544717
Sutter County,2017,96204
Tehama County,2017,63847
Trinity County,2017,12726
Tulare County,2017,462308
Tuolumne County,2017,53976
Ventura County,2017,849044
Yolo County,2017,218477
Yuba County,2017,76578
California,2018,39461588
Alameda County,2018,1666756
Alpine County,2018,1089
Amador County,2018,39405
Butte County,2018,230339
Calaveras County,2018,45698
Colusa County,2018,21418
Contra Costa County,2018,1150519
Del Norte County,2018,27740
El Dorado County,2018,190746
Fresno County,2018,991950
Glenn County,2018,27967
Humboldt County,2018,136244
Imperial County,2018,181523
Inyo County,2018,17946
Kern County,2018,893758
Kings County,2018,151382
Lake County,2018,64317
Lassen County,2018,30618
Los Angeles County,2018,10073906
Madera County,2018,156882
Marin County,2018,259662
Mariposa County,2018,17405
Mendocino County,2018,87401
Merced County,2018,274151
Modoc County,2018,8800
Mono County,2018,14403
Monterey County,2018,433950
Napa County,2018,138789
Nevada County,2018,99508
Orange County,2018,3175973
Placer County,2018,392330
Plumas County,2018,18741
Riverside County,2018,2445789
Sacramento County,2018,1538746
San Benito County,2018,61467
San Bernardino County,2018,2166753
San Diego County,2018,3333861
San Francisco County,2018,880696
San Joaquin County,2018,752491
San Luis Obispo County,2018,283354
San Mateo County,2018,768681
Santa Barbara County,2018,445780
Santa Clara County,2018,1932337
Santa Cruz County,2018,273841
Shasta County,2018,179709
Sierra County,2018,2997
Siskiyou County,2018,43550
Solano County,2018,445725
Sonoma County,2018,498643
Stanislaus County,2018,548126
Sutter County,2018,96348
Tehama County,2018,64018
Trinity County,2018,12567
Tulare County,2018,464589
Tuolumne County,2018,54387
Ventura County,2018,848142
Yolo County,2018,220118
Yuba County,2018,77557
California,2019,39512223
Alameda County,2019,1671329
Alpine County,2019,1129
Amador County,2019,39752
Butte County,2019,219186
Calaveras County,2019,45905
Colusa County,2019,21547
Contra Costa County,2019,1153526
Del Norte County,2019,27812
El Dorado County,2019,192843
Fresno County,2019,999101
Glenn County,2019,28393
Humboldt County,2019,135558
Imperial County,2019,181215
Inyo County,2019,18039
Kern County,2019,900202
Kings County,2019,152940
Lake County,2019,64386
Lassen County,2019,30573
Los Angeles County,2019,10039107
Madera County,2019,157327
Marin County,2019,258826
Mariposa County,2019,17203
Mendocino County,2019,86749
Merced County,2019,277680
Modoc County,2019,8841
Mono County,2019,14444
Monterey County,2019,434061
Napa County,2019,137744
Nevada County,2019,99755
Orange County,2019,3175692
Placer County,2019,398329
Plumas County,2019,18807
Riverside County,2019,2470546
Sacramento County,2019,1552058
San Benito County,2019,62808
San Bernardino County,2019,2180085
San Diego County,2019,3338330
San Francisco County,2019,881549
San Joaquin County,2019,762148
San Luis Obispo County,2019,283111
San Mateo County,2019,766573
Santa Barbara County,2019,446499
Santa Clara County,2019,1927852
Santa Cruz County,2019,273213
Shasta County,2019,180080
Sierra County,2019,3005
Siskiyou County,2019,43539
Solano County,2019,447643
Sonoma County,2019,494336
Stanislaus County,2019,550660
Sutter County,2019,96971
Tehama County,2019,65084
Trinity County,2019,12285
Tulare County,2019,466195
Tuolumne County,2019,54478
Ventura County,2019,846006
Yolo County,2019,220500
Yuba County,2019,78668
