,2013,2014,2015,2016,2017,2018,2019
"Coalinga city, California","16,974","16,647","16,755","16,827","16,988","16,774","17,179"
"Colfax city, California","1,996","2,000","1,994","1,997","1,999","1,996","2,002"
"Colma town, California","1,484","1,497","1,505","1,500","1,493","1,492","1,489"
"Colton city, California","53,105","53,706","54,291","54,507","54,680","54,637","54,824"
"Colusa city, California","6,171","6,126","6,105","6,156","6,146","6,094","6,060"
"Commerce city, California","12,960","12,964","12,963","12,922","12,862","12,762","12,661"
"Compton city, California","97,600","97,634","97,639","97,281","97,047","96,348","95,605"
"Concord city, California","125,888","127,128","128,303","129,036","129,592","129,743","129,295"
"Corcoran city, California","23,350","22,834","22,516","22,716","21,820","21,720","21,960"
"Corning city, California","7,550","7,516","7,531","7,546","7,582","7,564","7,710"
"Corona city, California","158,763","160,419","163,154","166,067","167,310","168,476","169,868"
"Coronado city, California","23,347","23,549","23,682","25,084","24,323","21,336","23,731"
"Corte Madera town, California","9,469","9,908","9,899","9,864","9,820","9,803","9,751"
"Costa Mesa city, California","112,244","112,485","112,808","112,933","113,665","113,302","113,003"
"Cotati city, California","7,375","7,411","7,427","7,443","7,451","7,584","7,410"
"Covina city, California","48,350","48,538","48,569","48,393","48,178","47,820","47,450"
"Crescent City city, California","7,169","6,780","6,767","6,644","6,386","6,805","6,787"
"Cudahy city, California","24,050","24,070","24,111","24,039","23,934","23,755","23,569"
"Culver City city, California","39,312","39,329","39,369","39,231","39,024","39,059","39,185"
"Cupertino city, California","60,198","60,592","60,519","60,900","60,588","60,004","59,276"
"Cypress city, California","48,971","48,936","48,994","48,813","48,835","48,826","49,006"
"Daly City city, California","104,980","105,887","106,538","106,882","106,733","106,869","106,280"
"Dana Point city, California","33,962","33,927","33,968","33,931","33,768","33,629","33,577"
"Danville town, California","43,262","43,817","44,311","44,715","44,727","44,683","44,510"
"Davis city, California","66,213","66,545","67,367","68,028","68,802","69,220","69,413"
"Delano city, California","52,331","52,447","52,495","52,568","52,877","52,921","53,573"
"Del Mar city, California","4,273","4,299","4,330","4,348","4,340","4,335","4,319"
"Del Rey Oaks city, California","1,664","1,670","1,674","1,679","1,672","1,662","1,654"
"Desert Hot Springs city, California","27,817","28,008","28,145","28,397","28,648","28,815","28,878"
"Diamond Bar city, California","56,233","56,279","56,429","56,581","56,334","56,106","55,720"
"Dinuba city, California","23,233","23,528","23,554","23,875","23,903","24,236","24,461"
"Dixon city, California","18,931","19,098","19,299","19,766","20,138","20,478","20,698"
"Dorris city, California",902,900,903,902,903,898,897
"Dos Palos city, California","5,026","5,046","5,084","5,217","5,407","5,502","5,527"
"Downey city, California","112,858","113,091","113,260","112,896","112,426","111,915","111,126"
"Duarte city, California","21,646","21,808","21,809","21,725","21,624","21,454","21,271"
"Dublin city, California","52,027","54,554","57,545","59,579","60,797","63,423","64,826"
"Dunsmuir city, California","1,572","1,567","1,571","1,571","1,572","1,568","1,564"
"East Palo Alto city, California","29,212","29,482","29,661","29,811","29,671","29,486","29,314"
"Eastvale city, California","56,247","57,386","59,231","60,670","62,309","63,815","64,157"
"El Cajon city, California","102,303","102,789","103,230","103,527","103,468","103,041","102,708"
"El Centro city, California","43,316","43,496","43,655","44,028","44,114","44,089","44,079"
"El Cerrito city, California","24,323","24,551","24,902","25,458","25,468","25,607","25,508"
"Elk Grove city, California","160,251","162,701","165,997","169,156","171,425","172,603","174,775"
"El Monte city, California","115,414","115,627","115,824","115,550","115,514","115,308","115,487"
"El Paso de Robles (Paso Robles) city, California","30,718","31,108","31,346","31,722","31,772","32,133","32,153"
"El Segundo city, California","16,855","16,900","16,891","16,835","16,752","16,663","16,610"
"Emeryville city, California","10,878","11,311","11,765","11,792","11,751","12,109","12,086"
"Encinitas city, California","61,555","62,023","62,590","62,921","62,884","62,750","62,709"
"Escalon city, California","7,216","7,343","7,474","7,501","7,550","7,566","7,574"
"Escondido city, California","148,794","149,708","150,683","151,204","151,220","151,793","151,625"
"Etna city, California",714,712,711,713,716,717,718
"Eureka city, California","26,895","26,874","26,902","27,153","27,126","26,968","26,710"
"Exeter city, California","10,458","10,490","10,486","10,477","10,502","10,508","10,485"
"Fairfax town, California","7,609","7,631","7,624","7,602","7,568","7,560","7,522"
"Fairfield city, California","109,137","110,727","112,365","114,456","115,817","116,678","117,133"
"Farmersville city, California","10,680","10,711","10,710","10,702","10,726","10,729","10,703"
"Ferndale city, California","1,362","1,363","1,364","1,371","1,372","1,363","1,352"
"Fillmore city, California","15,226","15,324","15,444","15,557","15,703","15,742","15,870"
"Firebaugh city, California","8,053","8,259","8,276","8,290","8,294","8,315","8,296"
"Folsom city, California","72,782","74,950","75,935","76,999","77,798","78,842","81,328"
"Fontana city, California","202,670","203,972","206,163","208,718","211,122","213,202","214,547"
"Fort Bragg city, California","7,268","7,283","7,277","7,291","7,308","7,347","7,291"
"Fort Jones city, California",686,684,683,685,690,689,692
"Fortuna city, California","11,891","11,973","12,057","12,199","12,277","12,322","12,259"
"Foster City city, California","32,416","32,698","33,470","34,279","34,292","34,109","33,901"
"Fountain Valley city, California","56,601","56,671","56,643","56,423","56,051","55,663","55,357"
"Fowler city, California","5,938","6,028","6,242","6,353","6,487","6,750","6,790"
"Fremont city, California","224,796","228,274","231,687","233,478","234,544","237,811","241,110"
"Fresno city, California","508,880","514,100","518,203","521,426","525,373","528,814","531,576"
"Fullerton city, California","138,637","138,840","139,982","140,454","139,744","139,273","138,632"
"Galt city, California","24,433","24,760","25,226","25,619","26,167","26,378","26,536"
"Gardena city, California","59,788","59,843","59,946","59,873","59,871","59,540","59,329"
"Garden Grove city, California","174,422","174,423","174,343","174,571","173,422","172,195","171,644"
"Gilroy city, California","51,893","52,538","53,259","55,369","57,549","58,588","59,032"
"Glendale city, California","195,318","198,232","199,197","200,118","201,804","200,688","199,303"
"Glendora city, California","51,120","51,065","51,769","51,882","51,997","51,846","51,544"
"Goleta city, California","30,639","30,880","30,963","30,921","31,098","30,954","30,911"
"Gonzales city, California","8,349","8,379","8,402","8,428","8,396","8,349","8,306"
"Grand Terrace city, California","12,301","12,334","12,387","12,460","12,557","12,556","12,584"
"Grass Valley city, California","12,784","12,840","12,929","12,927","12,932","12,881","12,817"
"Greenfield city, California","16,766","16,826","17,047","17,361","17,362","17,561","17,516"
"Gridley city, California","6,603","6,624","6,617","6,622","6,636","6,634","7,246"
"Grover Beach city, California","13,403","13,464","13,526","13,586","13,585","13,501","13,459"
"Guadalupe city, California","7,191","7,248","7,279","7,288","7,319","7,613","7,783"
"Gustine city, California","5,621","5,649","5,712","5,801","5,815","5,847","5,882"
"Half Moon Bay city, California","12,054","12,355","12,657","12,761","12,840","12,974","12,932"
"Hanford city, California","54,741","55,086","55,608","55,663","56,383","56,971","57,703"
"Hawaiian Gardens city, California","14,419","14,430","14,461","14,423","14,356","14,262","14,159"
"Hawthorne city, California","85,863","86,740","87,669","87,685","87,308","86,671","86,068"
"Hayward city, California","151,753","154,376","157,999","159,331","160,324","159,760","159,203"
"Healdsburg city, California","11,485","11,613","11,705","11,806","11,795","12,076","11,845"
"Hemet city, California","81,718","82,541","83,305","84,121","84,809","85,148","85,334"
"Hercules city, California","24,804","25,038","25,271","25,416","25,505","25,612","26,276"
"Hermosa Beach city, California","19,674","19,659","19,688","19,722","19,590","19,404","19,320"
"Hesperia city, California","91,777","92,071","92,653","93,251","94,473","95,013","95,750"
"Hidden Hills city, California","1,891","1,895","1,908","1,916","1,910","1,891","1,890"
"Highland city, California","54,150","54,325","54,553","54,752","55,198","55,311","55,417"
"Hillsborough town, California","11,261","11,379","11,466","11,490","11,464","11,446","11,387"
"Hollister city, California","36,184","36,665","36,960","37,576","38,377","39,750","40,740"
"Holtville city, California","6,021","6,251","6,360","6,418","6,559","6,661","6,621"
"Hughson city, California","6,988","7,177","7,319","7,398","7,467","7,538","7,565"
"Huntington Beach city, California","197,107","199,610","200,653","200,284","200,938","200,126","199,223"
"Huntington Park city, California","58,739","58,908","58,933","58,701","58,476","57,998","57,509"
"Huron city, California","6,765","6,779","6,802","6,924","7,285","7,278","7,281"
"Imperial city, California","16,111","16,680","16,943","17,089","17,432","17,671","18,120"
